input,response,output
    12月30日讯，天康生物在互动平台表示，公司根据市场和自身的实际情况，将2023规划目标从400万头调整为500万头。      ,天康生物,天康生物
    【腾信股份：拟与济南财投等共设并购基金】12月31日讯，腾信股份公告，根据公司战略规划的需要，为进一步拓展公司业务领域，更好地借助专业机构的专业力量及资源优势，整合各方资源，提高公司的综合竞争力。公司(“甲方”)拟与济南财投新动能投资管理有限公司(“济南财投”或“乙方”)、北京香江腾盛文化投资中心(有限合伙)(“北京香江”或“丙方”)、北京华一银河科技有限公司(“北京华一”或“丁方”)、国广龙德(北京)投资基金管理有限公司(“国广龙德”或“戊方”)、北京奥宸网络科技有限公司(“北京奥宸”或“己方”)共同投资设立并购基金(“并购基金”或“合伙企业”)。      ,腾信股份，济南财投，北京香江，北京华一，国广龙德，北京奥宸,腾信股份，济南财投，北京香江腾盛文化投资中心，北京华一银河科技有限公司，国广龙德(北京)投资基金管理有限公司，北京奥宸网络科技有限公司
1月1日讯，洪都航空公布的最新两融数据显示，公司12月31日融资余额为16.56亿元，与前一日相比增加9239.78万元，增加比例为5.91%，当前融资余额占流通市值的比例为4.06%。该股最近5个交易日融资余额增加5773.06万元，增加比例为3.61%。          融券余额为117.45万股，与前一日相比减少1.36万股，减少比例为1.15%，当前融券余额占流通股的比例为0.16%。该股最近5个交易日融券余额增加25.57万股，增加比例为27.82%。      ,洪都航空,洪都航空
1月4日讯，安图生物公布的最新两融数据显示，公司12月31日融资余额为1.77亿元，与前一日相比增加899.99万元，增加比例为5.34%，当前融资余额占流通市值的比例为0.28%。该股最近5个交易日融资余额增加945.46万元，增加比例为5.63%。          融券余额为44.86万股，与前一日相比增加600股，增加比例为0.13%，当前融券余额占流通股的比例为0.10%。该股最近5个交易日融券余额减少4600股，减少比例为1.02%。      ,安图生物,安图生物
    西部创业在互动平台表示，2020年上半年葡萄酒业务收入为395.68万元，占合并报表营业收入的1.08%。      ,西部创业,西部创业
    1月5日讯，中原传媒(000719)股价今日报收6.77元，涨幅为下跌0.73%，成交额为0.29亿元，换手率0.64%，收盘价创年内收盘新低。      ,中原传媒,中原传媒
    1月5日讯，九洲药业(603456)股价今日报收35.71元，涨幅为上涨2.03%，成交额为3.82亿元，换手率1.35%，收盘价创年内收盘新高。      ,九洲药业,九洲药业
世纪疫情和百年变局交织之际，极其艰难的2020年，中国发展表现成为全球经济阴霾下的一抹亮色。尤其是在信息通信产业中，中国已经建设成为名副其实的5G网络大国。过去一年，在产业链的共同努力之下，中国交出了一份沉甸甸的5G答卷。          这是一份令人满意的答卷——2020年，中国已建成全球最大的5G网络。这一年我国5G网络建设稳步推进，新增约58万个5G基站，建成共享5G基站33万个，累计建成5G基站71.8万个。          这也是一张世界瞩目的答卷——中国的5G网络实现了5个“全球第一”：全球第一张且规模最大的共建共享5G网络；全球第一个200 MHz大带宽高性能5G网络；全球第一张TDD+FDD混合组网的5G网络；全球第一个规模最大规模5G SA网络；全球第一个5G SA共享网络。          春去秋来，时光荏苒。在过去的366天中，中国5G网络建设速度可谓是突飞猛进。在9月底，我国已经提前完成了2020年5G基站建设目标。不仅以实际行动消弭了疫情带来的负面影响，还按照适度超前原则，稳步推进5G网络建设，紧贴不同场景的需求，按需建设、深度覆盖，打造出高质量的5G网络。          数字见证发展——全年新增58万座5G基站从年初开始，受国内外疫情和市场低迷的影响，2020年中国经济面临的压力超乎寻常。今年3月4日，中共中央政治局常务委员会召开会议提出，要求加快新型基础设施建设（“新基建”）。4月20日，在国家发改委召开的例行新闻发布会上，新基建被正式定义。          5G作为移动通信领域的重大变革点，成为新基建的领衔领域，也是经济发展的新动能。我国重点发展的各大新兴产业，均需要以5G作为产业支撑。强有力的政策支持，为5G建设保驾护航。承担建设任务的基础电信企业开足马力，5G网络建设加速驶入“快车道”。          过去一年，虽然全球部分国家或地区的5G商用进度受到疫情的负面影响，但整体来说5G商用网络在2020年仍然实现大幅扩展。          GSMA认为：目前来看，疫情之下全球5G建设并没有受到太大影响。截至2020年9月，107家运营商在47个国家/地区商用5G网络，18个运营商在Q3商用5G。预计2020年年底，将有149家运营商在57个国家和地区商用5G网络。          而在中国，5G网络建设发展可谓一日千里。从年初到年末一个个不断刷新的数字，印证着5G建设提速的脚步：3月底，中国移动5G基站超过8万个；中国电信建成5G基站4万个，并与中国联通共享超过2万个，在用5G基站规模超过6万个，覆盖超50个城市重点区域。          6月底，三大运营商在全国建设开通的5G基站超过了40万个。每一周平均新开通的基站超过1.5万个。          9月底，我国共建设5G基站69万个。中国移动完成年度目标，在全国完成了35万个5G基站的建设项目。          12月底， 我国新增约58万个5G基站，建成共享5G基站33万个，所有地市覆盖5G的目标已实现。          此前，工信部曾表示，中国已经建成全球最大的5G网络，累计建设5G基站71.8万个。按照规律，2020年－2024年是5G网络规模建设期；2025年－2018年将是5G网络建设完善期；2029年左右将开始引入6G。          也就是说，在5G建设的第一场攻坚战中，我国获得了绝对领先的优势，为下一步5G大规模商业化奠定了基础。          高通公司中国区董事长孟樸曾评价说：“ 5G在全球的发展非常迅速，特别是和以往3G/4G相比，5G布网的速度非常快。这也是中国第一次在新技术演进的时候，领先全球开始部署5G。从产业链的角度来讲，高通公司也一直与中国合作伙伴一起努力推动中国5G的发展。”从最大到最强——5G SA网络率先投入使用过去一年，我国5G网络规模已经形成引领态势。在此基础上，独立组网（SA）成为5G发展的新目标，国内三大运营商均加速向5G SA方向演进，这是我国引领5G发展的新阶段，也是5G新基建发展的重中之重。          2020年3月，工信部发布的《关于推动5G加快发展的通知》指出，支持基础电信企业以5G独立组网(SA)为目标，控制非独立组网(NSA)建设规模，加快推进主要城市的网络建设，并向有条件的重点县镇逐步延伸覆盖。          据悉，5G SA从架构、技术、服务多维度创新，能够更好地满足垂直行业多样化场景需求：独立组网架构引入服务化、软件化、智能化理念，可以即插即用，保障用户体验；网络切片、边缘计算、上行增强等新技术为网络带来强大的行业支撑能力；同时带来定制化、开放化和专业化的服务能力，为形成新的商业共赢模式奠定基础。          如今，全球领先的运营商都在积极向SA独立组网演进和部署。GSMA最新报告显示，截至今年8月份，全球24个国家的47家运营商正投资建设5G SA公共网络。强大的5G网络扩展，将成为未来行业数字化转型的重要基础设施。          2020年，国内三大运营商在独立组网领域持续发力，建设进度远超其他国家。在中国移动2020年全球合作伙伴大会上，中国移动表示，已建成全球最大规模5G独立组网网络，可为全国所有地市以上和部分重点县城提供5G SA的服务。11月27日，中国移动香港宣布，正式实现商用5G独立组网，助力香港建设世界级智慧城市。          在此之前，中国电信已经率先宣布5G SA组网实现规模商用。中国电信一直是5G独立组网的践行者。早在2月份，中国电信就宣布在业界率先完成了5G SA核心网商用设备整系统性能验证，同时5G端到端系统功能验证及异厂商互通测试也基本完成，推动5G SA设备在功能、性能和多厂家组网方面具备商用能力，为5G SA的规模部署奠定了基础。          作为5G共建共享的合作伙伴，中国联通和中国电信在合作之初就以独立组网SA为5G的发展方向和目标架构，并为此进行专项攻坚，协同各芯片、终端厂家开展端到端交叉组网兼容性测试验证。目前，联通已经率先牵引网络和终端在多省开通SA能力，全力支持toB新市场发展，成为全球首批实现SA商用的运营商之一。          5G最大的价值在于和产业的的深度融合，赋能千行百业。随着5G独立组网商用能力在全国的实现，将有越来越多用户享受到5G给生活带来的改变，5G赋能千行百业也将从愿景化为现实。          开创历史先河——电联共建共享成效卓著毫无疑问，中国在5G领域已处于世界领先，但也正是因为领先，导致没有先例借鉴，只能不断地进行摸索。比如在中国电信和中国联通的5G共建共享模式，在全球尚属首例，技术难度高，极具创新性和挑战性。          2019年9月9日，中国电信与中国联通签署《5G网络共建共享框架合作协议书》，宣告双方将合作共建一张5G接入网络，合力推进5G网络部署。          中国电信和中国联通开启了5G网络共建共享先河。自2019年正式达成共建共享协议以来，双方一方面合力推进5G网络部署，快速在全国31省开通5G共建共享，实现了50多个城市的5G正式商用，另一方面积极推进5G网络的技术演进，开通了全球首个5G SA共享基站。          在此过程中，中国电信与中国联通发挥互补的网络和频率资源优势，有效节约网络建设和运维成本。TCO节省成果显著，电联共享之后CAPEX预计节省40%左右，OPEX每年节省35%左右。初步统计两家节省5G建设投资超过600亿元，真正意义上做到用最少的投资、在最短的时间里，快速形成5G网络覆盖能力。          截止到今年年底，双方共享5G基站规模达到38万站，实现全国地级以及以上城市、重点县城的5G覆盖，完成了合建“一张网”的目标。在共建共享模式下，5G建设速度翻倍、覆盖翻倍、带宽翻倍、容量翻倍、速率翻倍，大幅提升网络效能、投资效能。          然而，这些成绩来之不易。在开始阶段，5G共建共享就面临诸多难题：NSA阶段双方共建共享非常复杂，没有现成的解决方案;共建共享NSA网络还要向SA网络演进;没有现成完备的技术标准可用;全世界TOP 10的两大运营商要在全域范围内共建一张5G网络等等问题。          在没有任何经验可借鉴情况下，中国电信和中国联通大胆探索，在共建共享中实现5G建设中的多项创新。全球首创NSA共享技术；首创共享网络下的NSA向SA演进技术；首创5G共建共享的国际技术标准；解决了5G共建共享网络建设运营管理各种问题。          值得一提的是，中国电信采用的终端自适应网络技术，解决了“4个脑袋，24条腿”，即4个核心网管1个基站，基站间互操作关系多达24个的难题，在业界首次成功实现NSA共享向SA共享演进。          最终，双方成功实现了“一张物理网、两张逻辑网、4G/5G高效协同、独立运营”的目标，并首创了200M共享的全球最高2.7G的峰值体验速率，取得关键技术突破15项、发明专利31项，提出5G国际3GPP标准7项、CCSA行业标准7项，实现了优势互补，提高了发展效能。          日前，中国电信与中国联通联合申报的“5G共建共享关键技术研究与产业化应用”项目获得2020年度“中国通信学会科学技术奖”一等奖。5G共建共享是中国运营商为全球5G发展贡献的中国式创新样板，为国际运营商打开了5G发展的新思路。          当前，世界百年未有之大变局加速演进，疫情变化和外部环境存在诸多不确定性，但唯一可以确定的是我国5G网络建设并不会减慢脚步。我国在5G网络建设上的快速部署、高效推进和创新突破，将继续向世界展示出“中国速度、中国智慧、中国力量”！      ,中国联通，中国移动，中国电信,中国，中国移动，中国电信，中国联通，GSMA
1月6日讯，紫鑫药业公布的最新两融数据显示，公司1月5日融资余额为2.15亿元，与前一日相比减少1490.15万元，减少比例为6.47%，当前融资余额占流通市值的比例为5.51%。该股最近5个交易日融资余额减少2613.09万元，减少比例为10.83%。          融券余额为6.61万股，与前一日相比增加700股，增加比例为1.07%，当前融券余额占流通股的比例为0.01%。该股最近5个交易日融券余额减少6800股，减少比例为9.33%。      ,紫鑫药业,紫鑫药业
    凯美特气在互动平台表示，公司目前有利用二氧化碳生产可降解塑料的原料客户，随着降塑令的正式落地并从严执行，二氧化碳的使用量会有稳步增长，有关二氧化碳的广泛应用以及碳捕捉、可降解塑料等新兴行业一直是公司研究和发展重点关注的领域。      ,凯美特气,凯美特气
