input,response,output
 事件：公司发布提价公告，从2019年1月1日起，对恒顺香醋、恒顺陈醋、恒顺料酒、镇江香醋【K型010072】、镇江香醋【金恒顺115050】五个系列产品进行出厂价格调整，提价幅度在6.45%-15.04%之间，提价产品2018年全年销售额合计约2.36亿元。　　提价带动调味品均价上升约2%，加快聚焦A类产品。本次提价的五个系列产品2018年销售额合计约2.36亿元，平均提价幅度为12.96%。我们测算提价产品占公司2018年调味品收入的15%左右，以2018年产品结构作为参考，本次提价将带动公司调味品出厂均价上升2%左右。假设成本不变，参考2018H调味品业务42.58%的毛利率，提价可推动调味品毛利率上升约1.1个pct。分产品看，涉及提价的四个醋系列产品2018年销售额为1.92亿元，平均提价幅度为13.64%。我们测算提价的醋产品占公司2018年醋收入的17%左右，提价将带动醋的出厂均价上升约2.3%。假设醋成本不变，参考2018H醋业务44.41%的毛利率，本次提价可推动醋毛利率上升约1.3个pct。提价的恒顺料酒系列产品2018年销售额为0.44亿元，提价幅度为10%，占公司2018年料酒收入的22%左右，预计提价将带动料酒出厂均价上升2.2%。假设料酒成本不变，参考2018H料酒业务31.02%的毛利率，本次提价可推动料酒毛利率上升约1.5个pct。本次提价产品均为A类产品，覆盖了A类近50%的销售额，有利于公司进一步聚焦A类产品、理顺价格体系。　　包材成本短期承压，提价未引起渠道库存大幅波动。公司本次提价基于包材等成本上涨，我们预计2019年原材料价格相对平稳，包材价格先升后降。目前纸箱价格已经回落，玻璃瓶现货仍处于高位，但2019年需求边际平稳，供给边际有望受益环保放松和支持民营的政策增加，更远视角看玻璃瓶价格有望回落。渠道反馈本次终端价格与出厂价格预计同幅度调整，公司提价后将加大费用投放反哺市场。参考历史经验，通常提价落实到终端需要3个月左右时间。相比2016年的提价，本次提价未提前通知经销商，避免了经销商大量囤货拉高渠道库存，目前渠道库存仍处于1.5个月的正常水平。,食品安全风险；渠道开拓不达预期,原材料价格波动风险；提价未能有效传导至终端市场的风险；渠道库存管理不当导致的销售压力；市场竞争加剧可能影响提价效果。
 近日，在国信证券举办的TMT策略会上，亿联网络领导与投资者深入交流，以下为交流纪要及国信通信团队最新观点。　　国信通信观点：公司成功切入视频会议市场，募得资金后加强在云端和软件终端的研发部署，具备优质的全球市场和音视频技术基因。中长期逻辑主要看在与微软合作和运营商客户的开拓，以及VCS业务的高速增长。远期主要看云平台的搭建以及未来投资新项目带来的协同效应。我们预计公司2018-2020年营业收入为17.9/22.6/28.5亿元，增速分别为29.2/26.0/25.9%，净利润为8.1/10.4/12.7亿元，增速分别为37.0/28.0/22.8%，EPS为2.71/3.47/4.26元，当前股价对应PE分别为29/23/19倍，上调盈利预测，维持“买入”评级。 全球模拟话机IP化进程持续推进，传统业务仍是“现金牛”业务　　公司的主营业务是IP（InternetProtocol）话机，其增长逻辑主要基于：1、海外市场（尤其是欧美市场）仍处于固定电话向IP化转型、SIP终端在IP终端中渗透率提高的过程；2、在SIP话机细分赛道竞争中，海外巨头和国内其他竞争厂商逐渐衰退，公司市场份额持续提升，全球龙头地位稳固。　　运营商在各国固定电话IP化进程中起到重要的引导作用，部分国家转换周期比原计划更长，预计公司的SIP业务在未来几年内仍能维持稳步增长。比如，德国电信目标是2018年底将欧洲的所有线路迁移至数字网络，澳大利亚宣布于2018年停止传统电话网的服务，但根据草根调研，德国和澳大利亚仍存在稳定的换机需求，因此，我们认为，SIP话机的市场需求不会出现断崖式下跌，是一个增速平稳放缓的过程，这是行业层面的积极因素。公司层面上，订单是众多一线渠道销售推广和谈判后的结果。目前公司处于竞争力和市场份额提升的正循环中，我们认为SIP话机业务仍是“现金牛”业务。　　,"1、人民币升值带来毛利率的下降。公司95%以上的收入来自国外, 90%的海外收入以美元计价, 美元兑人民币汇率的波动在收入成本端和汇兑损益上都对公司产生影响。
2、中美贸易战关税加征范围扩大。目前公司产品未在美国关税清单中, 但若未来征税范围继续扩大至5000亿, 则来自美国收入受影响。
3、行业竞争加剧, 市场拓展不及预期。VCS行业新增市场处于发展初期, 格局尚不稳定, 市场竞争不确定性较大。
",市场竞争加剧导致价格压力；技术更新速度不及预期影响产品竞争力；全球经济波动可能影响海外市场需求；政策变化带来的不确定性风险。
 预期2019年铁路总投资维持高位在8000亿元以上，大挖混凝土机械有望显著受益　　2018年铁路完成投资7920亿元，高于年初规划。年初规划2018年全国铁路投资7320亿元，8月份投资预期曾上调至8000亿元；实际完成额高于年初规划的8.2%，略低于调整后预期值。考虑2019年全国交通运输工作会议强调加大基础设施补短板的力度，预期2019年铁路总投资在8000亿元以上。大挖的下游主要是大型的基建工程，在固定资产投资稳中有升的大背景之下，大挖的销量有望稳中有升。且对三一来说，大挖的销量（大挖的单价可能是小挖的10倍左右）对公司的业绩弹性影响很大。我们判断2019年三一的大挖和混凝土机械有望在轨交投资继续维持高位的背景下显著受益。　　2018年挖机销量破20.3万台超市场预期，人工替代拉动未来小挖需求　　2018年12月挖掘机销量16027台，同比+14%，环比+1%，对标前面几个月的销量虽然绝对值仍然高增长，但环比增速已下滑。　　国内市场销量（不含港澳台）14269台，同比增长+12%。出口销量1749台，同比增长+38%，持续超预期。2018年以来，挖掘机出口量同比增速维持在70%以上，出口正在成为新的增长点。国内厂商海外布局多年，叠加“一带一路”沿线的工程需求对挖掘机出口的拉动作用，预计未来出口销量依旧维持高增长。　　市场结构方面，小挖是亮点：12月大挖同比-11%，全年累计同比+42%；中挖同比-7%，累计同比+48%；小挖同比+27%，累计同比+38%。临近年底是大型项目的开工淡季，只有小挖需求仍然保持高位。我们判断，随着劳动力成本的高企和年轻劳动力短缺，小挖作为在工程机械领域的机器人，发挥着各种疏通水利，开沟通渠等作用，未来的普及度和渗透率会逐步继续提升。　　房地产政策回暖+基建审批加快拉动2019年中大挖需求，预计起重机仍有小幅增长　　基建项目审批加快，叠加环保核查趋严因素，工程机械行业景气周期有望拉长。此外1-11月房屋新开工面积累计同比+16.8%，与商品房销售面积增速（+1.4%）产生分化，可推断开发商为缓解经营压力主动采取快开工、快开盘、快回款的高周转模式，这也是工程机械下游需求持续旺盛的原因之一。伴随着房地产的政策的回暖和基建审批加快，我们预计将拉动2019年中大挖需求。　　此外，2018年1-11月汽车起重机销售29695台，累计同比+61%，高基数下维持高增长，起重机和基建房地产相关性很大，我们判断2019年起重机还有10%以上增长。　,"下游基建房地产增速低于预期, 行业竞争格局激烈。",基建投资增速放缓风险；行业竞争加剧导致价格战；环保政策趋严可能影响生产；国际市场不确定性增加影响出口。
 事件： 近日我们对公司进行实地调研，并走访了公司位于四川省成都市的园林产品经销商及位于四川省德阳市中江县的农化产品经销商。　　植物生长调节剂行业壁垒高、市场广，公司先发优势明显。 目前，国内植物生长调节剂处于行业初期，发展难点在于前期用户习惯的培养，随着土地流转加速以及乡村振兴等政策，种植大户如雨后春笋般冒出，在此过程中有利于新产品、新技术的推广； 此外， 随着人们对园林绿化、水果及蔬菜的数量和品质要求越来越高，植物生长调节剂市场规模呈快速增长态势，且未来市场空间巨大。根据中国产业信息网的研究测算，我国植物生长调节剂行业市场规模从 2011 年的 33.58 亿元提升至 2016 年的 77.59 亿元，年复合增长率为 26.2%。国光股份在植物生长调节剂领域深耕三十余载，拥有植物生长调节剂原药登记证 13种、制剂登记证 33 种，是国内植物生长调节剂原药及制剂登记最多的企业。 作为龙头， 公司有望在行业快速增长的过程中充分受益。　　IPO 项目持续推进，股权激励绑定利益。 公司 IPO 募投的 2100 吨/年植物生长调节剂原药、 1.9 万吨/年环保型农药制剂、 6000 吨/年植物营养产品三个项目预计于 2019 年三季度投产， 届时公司产能将扩大为目前的四倍。打破产能瓶颈后，公司盈利能力有望快速提升。 此外， 公司于 2018 年 7 月实施了股权激励计划，公司以 19.03 元/股的价格向126 名领导层及核心骨干授予了 238.4 万股股票，将公司利益和核心员工利益进行绑定； 解锁条件为 2018-2020 年均利润增速高于 20%，彰显了公司对未来发展的信心。,募投项目进展低于预期；土地流转速度不及预期。,市场需求波动风险；新产品推广进展不及预期；政策变化可能影响行业发展；产能扩张面临技术和资金压力。
　　事件：近期我们参加公司调研，与董事长等公司核心高管沟通，了解公司业绩改善动因及未来发展规划。同时，公司发布业绩预告，2018年预计实现营收10.70亿元，同增12.8%，预计实现归母净利2.40亿元，同增66.6%，扣非归母净利润1.54亿元，同增18.5%。　　2H18业绩改善，产品聚焦效果显现。公司收入及业绩18H2起逐步改善，其中3Q18/4Q18收入分别同比+27.68%/+25.24%，利润分别同比+31.67%/+67.24%。公司下半年业绩发力主要系：1）1H17提价后经销商加大备货，致1H18收入增速在高基数下趋缓，2H18高基数因素消解；2）18Q2末公司重新定位品牌，实施“零添加为主，高鲜为辅”战略，聚焦零添加产品加强渠道推广和资源倾斜，同时积极参与高鲜酱油竞争，清晰定位叠加产品结构提升，效果逐渐显现。目前公司酱油、醋年产能合计20万吨，18年募资投建年产25万吨酿造酱油、食醋生产线，公司预计一期10万吨酱油产能将于19年中投产。　　继续强化渠道下沉，寻求全国化布局。公司目前在西南市场具有领先地位，未来计划继续精耕优势市场，并寻求全国化渠道布局。1）精耕优势西南区域：公司在西南市场以流通渠道为主，后续将通过分区精耕终端、精准媒体投放以及升级产品结构等方式进行优化，预计今年西南区域将有较好表现。2）进行全国化布局：公司在西南以外区域以商超渠道为主，未来计划在零售、餐饮、电商及特通等渠道同步布局，首先完成北上深等一线城市布局，今年拓展主要全国百强县及人口大县。分渠道看，零售及电商渠道主攻零添加产品，餐饮渠道主打高性价比东坡红，目前已在河北、西北及四川部分地级市等进行开拓，期待稳健增长。　　差异化竞争优势明显，聚焦零添加健康化产品。公司产品核心优势在于差异化，即以千禾零添加产品作为核心定位，后续醋、料酒业务也将推出零添加产品，目前公司零添加酱油占比40%，目标未来占比达70%以上。该定位主要考虑消费者的健康诉求，消费者对中高端、健康化调味品接受度不断提升。目前市场主流仍聚焦在高鲜酱油领域，零添加、有机等领域尚属蓝海。我们认为公司有望通过差异化竞争策略，战略聚焦零添加产品，抢占健康有机产品高地，后续有望通过积极渠道扩张以实现业绩稳健增长。,市场竞争激烈的风险；原材料价格波动风险。,市场竞争加剧，可能导致价格战和毛利率下降；产品定位转型风险，消费者接受度不确定；全国化布局进展缓慢，可能影响业绩增长；原材料价格波动对成本控制带来压力。
 公司预计2018年净利同比增长45%-75%。公司发布2018年业绩预告，预计2018年度，公司实现归母净利润6.20亿元-7.48亿元，同比增长45%-75%。公司公告称，预计业绩变动的主要原因包括：（1）2018年，公司围绕“智慧计算”战略，将计算力转化为新生产力，经营业绩较去年同期有较大增长；（2）中国及全球服务器市场需求继续保持快速增长，公司不断的技术创新，以及融合全链条业务模式JDM，开启了浪潮服务器大规模定制化生产交付的敏捷创新模式，实现了敏捷开发、智能制造、敏捷交付、智造浪潮速度。　　18Q4单季度净利同比增长40%至112%。从单季度的数据来看，18Q4单季度实现归母净利润2.48亿元-3.76亿元，同比增长39.69%至112.02%（中位数为同比增长75.86%）。18Q1、18Q2、18Q3公司单季度归母净利润增速分别为-22.65%、93.74%、65.71%。假设公司18Q4实际归母净利润增速为业绩预告的中位数（即75.86%），18Q4归母净利润增速高于18Q3的增速。我们认为，公司18Q4业绩增长提速，业绩超过市场预期。　　服务器营收、出货量均进入全球TOP3。根据IDC2018年12月发布2018年第三季度全球服务器市场报告，（1）营收市占率提升2.5个百分点，跻身全球TOP3。公司18Q2服务器营收10.88亿美元，全球排名第五位，市占率4.8%。浪潮信息18Q3服务器营收17.12亿美元，全球排名第三位，市占率7.3%，市占率提升2.5个百分点；（2）出货量市占率提升2.1个百分点，全球TOP3。公司18Q2服务器出货量20.32万，与联想并列全球第三位，市占率6.9%。浪潮信息18Q3服务器出货量28.36万，超过联想全球排名第三位，市占率9.0%，市占率提升2.1个百分点。　,"服务器需求低于预期的风险, 服务器价格波动的风险。",市场需求波动风险；技术创新进展不及预期；全球竞争加剧导致市场份额波动；政策变化可能影响行业发展。
 崇达技术发布2018年业绩快报，公司预计营业收入36.56亿（YoY+17.8%）；归母净利润5.63亿元(YoY+26.9%)；Q4单季营业收入8.84亿（YoY+9.54%），归母净利润1.3亿（YoY+9.42%)。 产能转移加集中度提升，内资优质企业深度受益。近年PCB产值不断向中国大陆转移，2008年至2016年，中国PCB行业产值从150.4亿美元增至271.2亿美元，年复合增速达7.7%，远超全球整体增长速度2%左右。内资厂商凭借成本及管理效率和自动化产能释放的优势，抢占了日台厂商原有的份额。PCB行业内部呈现出加速集中的趋势。　　行业集中加速，头部厂商深度受益。伴随着中国对外部PCB产能的承接完成，行业内部呈现出加速集中的趋势。2018年以来，环保改革和自动化改革对PCB厂商提出了购置相关设备的需求，资金实力弱的小厂商将逐步被出清；PCB板高端化的趋势也提高了行业的技术壁垒。崇达技术作为国内高端板的领先的上市企业，融资能力优秀，技术发展迅速，业绩不断释放，或将在行业洗牌后发展成为对标台湾臻鼎、日本旗胜的百亿内资大厂。　　加码中大批量驶入更广市场，产能持续释放保证业绩稳健增长。2015年，公司提出了“积极开拓中大批量市场”的发展战略，持续在原有客户的基础上，积极开发中大批量订单。2017年公司成功转型，2018H1公司中大批量订单（20平米以上）的销售面积占比约70%，新增的订单金额中70%是中大批量订单。2017年中大批量转型的成功打开成长空间，2018年公司净利率水平同比提升1.1个点，实现了在转型成功的基础上提升了盈利水平，打消转型中大批量盈利能力可能下降疑虑，未来有望以较高盈利水平进入更大市场，前景可观。　　入股三德冠，补全板材品类。公司2018年7月2日发布公告，拟以自有资金1.8亿元收购深圳三德冠精密电路20％股权，并拟12个月内继续收购40％股权。三德冠是国内领先的挠性线路板制造商和服务供应商，与京东方、天马、亚马逊等知名客户建立了战略伙伴关系。2017年三德冠收入为7.5亿元，净利润为5044万元。公司收购三德冠，有望开拓公司挠性线路板产品布局，快速拓展消费电子、汽车电子等应用领域，增强公司的整体实力和市场竞争优势。,产能落地速度不及预期；订单增长不及预期；人民币升值较快。,行业竞争加剧导致市场份额波动；环保政策变化可能影响生产成本；中大批量订单依赖度过高，风险集中；收购整合进展不及预期，影响战略布局。
" 公司是国内湿法隔膜绝对龙头，毛利率显著高于同行，成本优势显著,现已切入全球供货体系，未来将大幅受益于下游新能源汽车及中游锂电池企业的快速发展。 湿法隔膜趋势已现，下游需求高速增长　　湿法隔膜性能优于干法隔膜，广泛应用于三元电池，目前在三元电池中的渗透率高达90%以上，截至2018年底，三元电池装机量占比已达到58.17%，受益于三元电池的需求提升，目前湿法隔膜正在加速渗透。　　下游电动车市场全球化趋势确定，将带动动力电池需求快速增长。根据我们测算，2020年国内电动车达到210.42万辆，对应国内电池需求114.51GWh，海外电动车2020年达到190万辆，对应动力电池需求57GWh，因此到2020年全球动力电池需求为171.51GWh，对应湿法隔膜需求22.98亿平米，加上3C消费与储能带来的锂电池需求，到2020年全球锂电池湿法隔膜总需求32.73亿平。　　行业扩产较快，价格波动加速行业出清，未来高端供应或将偏紧　　行业名义产能扩张较快，与行业最终出货量相去甚远。主要由于：1）各企业的规划产能不一定能够顺利如期投产；2）投产后产品的质量问题即良品率问题也会影响最终的出货量。　　2018年隔膜价格大幅下降，很多湿法隔膜企业出现亏损。我们认为，隔膜价格的下降会使行业格局发生变化，高成本、高费用企业最终会因无法承受的亏损而逐渐退出。　　目前行业良品率多在40%-50%，考虑到部分产能投产计划不达预期及产能爬坡，按照2020年底产能乘以50%来算2020年底的有效产能，再乘以50%良品率，则最终国内实际出货量约为15亿平米。国外企业按照50%有效产能，70%的良品率，则2020年出货量约为10.5亿平米，全球湿法隔膜合计供给约25亿平米，而需求将超过30亿平米，因此可能会出现供应偏紧的情况。　　行业绝对龙头，强势扩张提升全球份额　　1）公司是国内湿法隔膜绝对龙头，国内目前市占率达40%以上，2020年公司母卷规划产能将超过30亿平方米，市占率将达到50%以上。现已切入全球供货体系，可以对冲国内客户补贴滑坡后的降价压力，将获得更高的销售价格与更好的销售回款。　　2）毛利率显著高于同行，成本优势显著，主要由于：技术工艺领先带来的高良品率、低单位产线投资额，从而带来低单位折旧与低单位能耗。　　3）高端涂覆占比提升，提高单品价值量。公司涂布膜品类丰富，可以批量供应很多特色产品满足客户定制化需求。涂布膜价格高于基膜半成品，未来高端涂覆占比提升有望对抗基膜价格下降的压力。","隔膜价格下降超预期, 新能源车需求不及预期, 首发解禁风险。",行业竞争加剧导致价格波动风险；产能扩张不及预期可能影响市场供需平衡；下游需求变化可能对公司业绩产生不利影响；政策调整可能影响新能源汽车市场发展。
 公司发布2018年业绩报告，2018年公司实现营业收入2908.77亿元，主营业务收入2636.83亿元，归母净利润40.81亿元，同比增长率分别为5.8%、5.9%、858.3%。 1、公司营收平稳增长，成本有效控制，净利润快速增长。　　2018年，公司实现营业收入2908.77亿元，同比增长5.8%，虽然增速相对平稳，但好于行业平均。得益于成本的有效控制，公司净利润以及归母净利润快速增长。2018年，公司成本费用合计2724.15亿元，同比增长2.2%，低于营收增速。原因是，公司财务费用、终端补贴、折旧与摊销显著降低，分别降低103.4%、23.7%、2.2%，累计较2017年节省支出62亿元。因此，公司实现归母净利润40.81亿元，同比大增858.3%。我们认为，公司业绩表现符合预期，但在提速降费、竞争加剧的背景下，2018年业绩仍实现较快增长，完成了股权激励要求，反映出公司经营正在逐步改善，预计未来完成股权激励要求的概率较大。　　2、公司混改取得成效，财务实力增强，2I2C业务发展良好。　　公司完成混改后，一方面财务实力明显增强，公司带息债务2017年为738亿元，2018年降低至370亿元，使得公司财务费用由40.79亿元降低至-1.38亿元。另一方面，公司2I2C用户持续增长，截至2018年底，出账用户已经达到9400万户，全年净增4400万户，此外公司的产业互联网收入增长45%，其中大数据业务实现收入6.1亿元，同比增长283.5%，云计算业务创收9.6亿元，同比增长98.7%，IT服务收入达56.1亿元，同比增长69.2%。　　3、增值税率及电费下调、携号转网实施或助力公司经营向好。　　我们认为，公司短期内的净利润增长主要来自降本提效。2019年，增值税率将从16%降低至13%、11%降低至10%，这将有助于节省公司资本开支或让公司花同样的资金购买更多的设备，此外公司销售端也有望受益带来收入的增长。2019年，一般工商业电费将下调10%，公司2018年电费支出约100亿元，这将有望带来静态约10亿元左右的电费开支节省。此外，2019年底前我国有望全面实现携号转网，考虑到公司的综合资费水平在三大运营商中处于最低水平，这将有望带来公司用户的进一步增长。　　4、公司5G布局积极，产业互联网业务快速增长，具转型潜力。　　2018年，公司在17个城市开展了5G规模试验与应用试点，每城市建站规模在100站左右，此外还在省会城市进行了10站左右的试点。应用试点方向包括新媒体、车联网、工业互联网以及医疗等。2019年，公司将投入60-80亿元用于5G试验，同时推动SA与NSA，且公司明确5G部署将不会再犯4G时的错误，该建设时就会积极推进。我们认为，5G有望带来新的应用爆发，例如云VR、自动驾驶等，形成新的商务模式，如边缘计算等。公司在引入战投后，股权结构优化，机制更加灵活，有望更好地抓住5G带来的产业机遇，叠加公司目前的产业互联网业务发展良好，2018年收入已达230亿元，同比增长159%，这些都给公司转型奠定了良好的基础。　,"竞争加剧, 用户ARPU快速下滑；5G投资大, 初期效益不明显等。",市场竞争加剧导致利润空间压缩；政策变化带来的不确定性风险；5G布局进展不及预期；产业互联网业务增长放缓风险。
 上海机场公布 2018 年年报，全年实现营业收入 93 亿，同比增 16%，实现归母净利润 42 亿，同比增长 15%， 拟每 10 股派 6.6 元。 　免税业务增长强劲，带动公司非航业务高速增长　　航空性收入： 受民航局控总量政策影响，公司 18 年飞机起降架次同比增 1.6%， 但因旅客结构优化，国际旅客占比增加，公司实现航空性收入 39.7 亿元， 同比增 6.6%，增速略高于起降架次。　　非航收入： 公司 18 年非航收入同比增长 23%至 53 亿元，占收入比重提升约 4pct至 57.4%。其中，商业餐饮收入贡献 39.9 亿元，同比增长 33%，为非航业务增长的主要驱动力，预计主要因机场免税业务大幅增长所致，而其他非航业务仅增长 0.9%。　　成本端：运行成本增长较快， 费用率逐步下行　　公司 18 年产生营业成本 45 亿元，同比增长 11%。 从细分成本看，营业成本增长主要受运行成本增长驱动，因公司 18 年对卫星厅商业零售资源进行招标所致以及维修维护费用增长。而考虑公司预计 19 年将向集团支付租赁资产和场地金额同比增长 50%至 10.5 亿元， 我们预计未来运行成本仍有增长压力。 此外，公司三费控制良好。其中， 占比最高的管理费用率较 17 年下降 0.4pct 至 2.0%； 财务费用率则因去年有 10 年期债券到期而本年无该事项下降； 销售费用率继续保持稳定。　　联营公司投资收益下滑　　公司对联营公司和合营公司的投资收益为 8.9 亿元，较去年同期下滑 8%。目前公司联营、 合营公司主要为德高动量（持股 51%） 和油料公司（直接持股 40%）。其中，德高动量净利润同比增长 16%，但对投资收益贡献更高的油料公司 18 年业绩下滑1%，最终致投资收益下滑。,免税销售增长不及预期；国人市内店免税政策变化；运行成本大幅增长。,航空业政策变化风险；免税业务依赖性过高，市场波动可能影响收入；运行成本持续上升，可能压缩利润空间；联营公司业绩不及预期，影响整体投资收益。
