input,response,output
事件具体内容：      公司以提高人类健康生活品质为宗旨，致力于营养强化剂和生物医药产品领域的创新和发展。公司是全球最大辅酶Q10生产厂家之一，是全球前三大VD3生产厂家之一，也是全球六家VA生产厂家之一。       二级市场走势：该股今日强势上涨，后市有望继续冲高。      ,化学制药,生物制品
7月1日晚间公告，由于有关会计师事务所对公司2019年度财务报告出具了保留意见的审计报告，公司触发《股票上市规则》第13.2.1条相关规定被实行退市风险警示措施的情形已消除，公司符合申请撤销退市风险警示的条件，同时亦不存在其他需要实行退市风险警示的情形，为此公司已向深圳证券交易所提交了撤销退市风险警示的申请。          据悉，因2018年报被会计师事务所出具无法表示意见的审计报告，根据深交所股票上市规则第13.2.1条第(四)项：＂最近一个会计年度的财务会计报告被出具无法表示意见或者否定意见的审计报告＂，深交所有权对其股票交易实行退市风险警示的相关规定，公司股票于2019年4月29日起被实施＂退市风险警示＂的特别处理。证券简称由＂天圣制药＂变更为＂*ST天圣＂，证券代码仍为002872，股票价格的日涨跌幅限制为±5%。          此外，因控股股东刘群占用公司资金触发其他风险警示，根据相关规定，经申请，公司股票已于2019年6月5日起被实施其他风险警示，目前尚未撤销。截至今年6月16日，刘群占用资金本金已偿还完毕，公司财务部初步测算其占用资金利息约1551.27万元。因刘群目前所涉诉讼案件处于二审上诉阶段，名下资产已被冻结，暂无可动用资金偿还利息。公司表示，将持续关注该案件的后续情况，并积极督促刘群尽快偿还资金占用利息。          *ST天圣提示，公司申请撤销退市风险警示尚需经深交所核准，能否获批尚存在不确定性。如获批准，公司股票将被撤销退市风险警示，但仍继续被实行其他风险警示，证券简称将由＂*ST天圣＂变更为＂ST天圣＂，证券代码仍为002872，股票价格的日涨跌幅限制仍为5%。  ,医药商业,化学制药
 7月6日晚间，海正药业发布公告称，截至2020年7月6日，公司持股5%以上股东国贸集团及其一致行动人英特药业本次减持股份计划的减持时间已过半，减持计划尚未实施完毕。期间国际贸易和浙江英特药业共减持公司股份约278万股，减持股份占公司总股份为0.29%。       ,化学制药,医药商业
"     8 月 9日丨贝达药业(300558.SZ)发布公告，2020年8月8日，公司和控股子公司Xcovery Holdings, Inc.(以下简称“Xcovery公司”)共同研发的新一代ALK抑制剂盐酸恩沙替尼(Ensartinib、X-396)国际多中心Ⅲ期临床研究(eXalt3)期中分析结果在世界肺癌大会(IASLC WCLC)主席团研讨会上发布。结果显示，接受恩沙替尼治疗的ALK阳性非小细胞肺癌(NSCLC)患者，其中位无进展生存期(mPFS)显著长于接受克唑替尼治疗的患者。          恩沙替尼eXalt3研究共入组290例ALK阳性NSCLC患者，被随机分配到恩沙替尼或克唑替尼治疗组。截至2020年7月1日数据，经盲态独立评审委员会(BIRC)评估，进展事件占最终分析预设进展事件的73%。数据表明，接受恩沙替尼治疗组的中位无进展生存期(mPFS)为25.8个月，接受克唑替尼治疗组的为12.7个月，两者具有显著性统计学差异。生存分析(K-M曲线)显示，在治疗后36个月时间点，恩沙替尼组只有不到40%患者进展，而克唑替尼组有75%的患者进展。目前，eXalt3研究还将继续跟进正在接受治疗的患者。          综上，在ALK阳性非小细胞肺癌患者中，恩沙替尼显著延长无进展生存期，具有良好的安全性，是一线治疗的新选择。基于该eXalt3研究结果，公司将积极准备中美一线适应症的上市申报，恩沙替尼将成为公司第一个在全球上市的创新药。      ",化学制药,化学制药
    事件： 公司 9 月 7 日晚发布定增预案，方案拟向不超过 35 名特定投资者发行不超过 577 万股股份，占发行前公司股本的 7%以内，金额不超过 8 亿元，募集资金用于单剂量生产线建设项目(含环孢素滴眼液)、研发中心建设及新药研发项目、补充流动资金。发行价格不低于定价基准日前二十个交易日公司股票交易均价的百分之八十，锁定时间 6 个月， 本次项目预计 2020 年12 月底前实施完成。 公司提出 2020-2022 年现金分红不少于当年可分配利润的 20%。          定增资金将保证环孢素产能及业绩释放： 公司目前的生产线足以保证中短期内环孢素滴眼液生产， 此次募集资金建设环孢素滴眼液生产线主要是为了环孢素的长期放量做好产能储备(建设 2 年，达产至少 5 年)，公司预计项目达产后收入为 19.7 亿元，净利润 6.4 亿元，将带动公司业务高速增长。          定增资金将为阿托品滴眼液 2.4 类新药临床提供充足资金： 公司 0.01%阿托品滴眼液三期临床预计将累计投入 1.03 亿元，主要在 2020-2022 年使用，本次募集资金将为阿托品滴眼液临床的顺利推进提供资金保障， 我们预计公司阿托品滴眼液有望 2023 年底至 2024 年获批上市。          对业绩摊薄有限：根据我们的盈利预测，公司 20/21 年业绩分别为 0.80/1.37亿，增速 124%， 71%， EPS 为 0.97， 1.67 元/股，如按新增 576.56 万股股本计算，摊薄后 EPS 为 0.91/1.57，摊薄约 6.5%； 在公司获得充足资金支持研发和生产， 业绩高速增长下，增发带来的业绩摊薄将被迅速抹平。          引入新股东有望进一步提升公司形象： 本次方案的价格及锁定期条件与今年其他同类项目比较一致；对于兴齐眼药来说，公司在近两年崛起速度太快，市场认可度仍在逐步提升过程中， 如公司能借此机会引入重量级股东，则可能加速从黑马到白马的转变。,化学制药,化学制药，生物制品
    新中国制药工业的摇篮，被称为共和国“医药长子”的华北制药再度迎来高管级别人事变动，2018年6月起开始主持工作的董事长杨国占辞职。这已是五年内华北制药更换的第四位董事长。      ,化学制药,化学制药
中国资本市场的逻辑正在发生变化，以往的“轻罚”也将成为历史。      随着资本市场的改革不断推进，对于上市公司的规范力度以及处罚力度也会不断的加强，这是中国资本市场的必由之路。            注册制下，以往的“壳”资源正在失去价值，那些忽悠式的上市公司也会慢慢被踢出资本市场。      除此之外，违规信披也将成为市场整顿的重点。以往上市公司的不规范行为也在重罚下慢慢变得规范起来。      近期，游族网络董事长去世的消息迅速登上了热搜，市场上除了对游族网络创始人林奇的惋惜之外，其违规信披也引发了媒体的关注。      这不是资本市场的个例，有一些上市公司多多少少都会存在违规信披的行为，常山药业就是其中的典型之一。      12月28日晚，常山药业发布公告称，公司及公司实际控制人高树华收到中国证监会河北监管局下发的《行政处罚决定书》。中国证监会河北监管局决定对常山药业给予警告，并处以60万元的罚款。同时对董事长高树华给予警告，并处以30万元的罚款；对公司董秘吴志平给予警告，并处以30万元的罚款。            缘由是，2018年5月16日常山药业发布的《关于全资子公司获得药品GMP证书的公告》，这份公告中，他们使用了一组数据，国内ED患者人数约1.4亿人。      当时，常山药业以这组数据为基础，称假设有30％接受治疗，人数将达4200万人，假设接受治疗的ED患者每年都能多次使用药物，未来中国潜在的市场规模有望达到百亿元级别，市场空间“广阔”。      发布后，这份报告迅速的上了热搜，并引起了热议。      仅隔一天，深交所就向常山药业发去了《问询函》。      对于常山药业来说，发布这样一份吸引眼球的报告可谓非常草率，同时也有点“侮辱”我们男人之嫌。 ,生物制品,化学制药，医药商业
7月2日讯，有投资者问，300142生产的疫苗都是预防性吗，有没有治疗性疫苗是那种？          沃森生物在互动平台表示，公司目前生产上市的疫苗产品均是预防性疫苗。      ,生物制品,生物制品
    【天宇股份：林洁质押合计1080万股】7月21日讯，天宇股份公告，公司于近日获悉林洁所持有公司的部分股份被质押，质押股数合计1080万股(含补充质押)。      ,化学制药,其他
7月22日讯，万东医疗公布的最新两融数据显示，公司7月21日融资余额为10.43亿元，与前一日相比增加7347.87万元，增加比例为7.58%，当前融资余额占流通市值的比例为7.48%。该股最近5个交易日融资余额增加2.83亿元，增加比例为37.26%。          融券余额为74.94万股，与前一日相比减少300股，减少比例为0.04%，当前融券余额占流通股的比例为0.14%。该股最近5个交易日融券余额增加2.13万股，增加比例为2.93%。      ,医疗器械,医疗器械
"    2021年8月13日，昭衍新药股东顾美芳提出减持计划，因为个人资金需求,持股人原持股份13871330股，减持上市公司股份不超过1520000股，计划减持股份比例不超过公司股份总数的0.40%,减持日期至2022年03月01日      ",医疗服务,化学制药
