,input,response,output,f1score
0,    潜力巨大、认知不足全球能源危机的加剧，也迫使着人们加速新能源技术的开发与应用，除了大众比较熟悉的新能源汽车，其实还有许多不为人知的节能应用。例如与我们每天日常工作与生活息息相关的建筑物。    据统计，人的一生绝大部分时间是在建筑物中度过的，但却没多少人留意到，建筑物本身才是真正的耗能大户。建筑物消耗了大约40％的全球能源，25％的全球水资源。约40％的全球资源都是消耗在建筑物中，并且它们排放约全球1／3的温室气体。    然而，在发达国家和发展中国家，建筑物也具有最大的潜力实现温室气体减排，至少要降低能耗成本。此外，使用成熟的可商用的技术可将建筑物的能耗降低30％至80％。    核心要点建筑行业估计占全球GDP的10％（7．5万亿美元），拥有1．11亿从业人员。    住宅和商业建筑消耗全球约60％的电力。    现有建筑物代表着巨大的节能机会，因为它们的性能水平经常远低于当前的效率潜力。    建筑是全球温室气体排放的最大贡献者。    在发展中国家，新的绿色建筑产生了巨大的机会。人口增长、经济繁荣和日益增长的城市化推动了建筑业的发展，这些活动占GDP的比重高达40％。    在建筑节能方面的投资伴随着大量的直接和间接节省，这有助于抵消增加的投资成本，提供较短的投资回报期。    可持续的建筑将带来更健康、更高产的环境。    鉴于新兴经济体中新建建筑的大量增长，以及全球现有建筑存量的低效率，如果不采取任何措施，在未来20年中，建筑物产生的温室气体排放量将增加一倍以上。因此，如果要实现减少温室气体排放的目标，很明显，决策者必须解决建筑领域的排放问题。减少建筑物产生的温室气体必须成为所有国家气候变化战略的基石。    建筑物的建造、翻新和维护占国家国内生产总值（GDP）的10％至40％，并且在全球范围内平均代表国家一级的就业人数的10％。如果精心计划，建筑物的温室气体减排策略可以刺激新业务和新工作的增长，并为其他同样紧迫的社会发展目标做出贡献，例如改善住房条件、获取清洁能源和水。决策者应抓住气候变化危机提供的机会，为当今和未来的可持续发展奠定基础。    改善新旧建筑物的能源效率广义上讲，建筑物的能效取决于建筑物物理结构中的能量损失率以及满足使用者能源需求和建筑物的物理舒适度的能量消耗率。这两个因素通常是密切相关的，因为建筑物的物理结构和设计与当地气候相互影响，会严重影响能源系统的选择和系统的相关效率。因此，在考虑改善建筑物能源效率的措施时，必须重点关注这两个因素。    能源绩效承包（EPC，即合同能源管理Energy Performance Contracting）意味着承包商，通常是能源服务公司（ESCO），保证在指定时期内为某个项目节省一定的能源；实施适当的能源效率改进；并从通过节能节省的能源成本估算中获得收益。EPC可以成为在建筑物中实施和资助节能项目的有用工具，因为不需要公共开支或市场干预即可获取具有成本效益的节能潜力，并且可以提高竞争力。    但是，要使有效的节能服务行业蓬勃发展，必须具备许多条件，例如成熟的金融部门愿意为能效项目提供贷款；无补贴的能源价格；以及有利的法律、财务和商业环境。迄今为止，已证明ESCO在德国、美国和匈牙利以及在中国和巴西有效实施，但在其他一些国家却没有那么成功。迄今为止，大多数发展中国家的节能服务公司项目都是由双边和多边捐助者资助的。    合同能源管理模式之所以困难重重，关键在于决策者对于该模式的认知以及普遍存在的信用危机，甚至是否按照设计标准实施运营、人员素质等都是阻碍因素。    发展中国家的节能建筑建筑行业具有减少温室气体排放的巨大潜力，而且成本较低。但是，对于发展中国家而言，很明显，需要探索更广泛的融资选择，包括通过CDM和公私伙伴关系等国际机制。许多发展中国家必须在其建筑部门应对减少温室气体和适应气候变化的双重挑战。但是，发展中国家也可以将应对气候变化所面临的挑战的努力与其总体可持续发展目标结合起来。    清洁发展机制（CDM）是《联合国气候变化框架公约》第三次缔约方大会COP3（京都会议）通过的附件I缔约方在境外实现部分减排承诺的一种履约机制。 CDM的核心是允许发达国家和发展中国家进行项目级的减排量抵销额的转让与获得。    没有任何一个利益相关者，无论是研究人员、项目开发人员、政策制定者、公共捐助者还是私人投资者，可以完成所有事情，但是每个人都可以而且必须做某些事。认识到在气候、文化、传统、经济体系和材料供应方面存在着不同条件，这些条件适用于不同国家的建筑部门。    因此很明显，对于减少温室气体，不可能有通用的解决方案或建议建筑物的气体排放。但是，从来没有人对解决建筑物的排放问题产生更大的兴趣，决策者应该利用所有利益相关者的良好意愿、支持和专业知识来实施其温室气体减排战略。,"宏观, 社会, 环保节能",API Error,0
1,    6月17日电，粤水电公告，拟以发行股份方式购买广东省建筑工程集团控股有限公司持有的广东省建筑工程集团有限公司100%股权并募集配套资金。经上市公司与交易对方协商，确定建工集团100%股权的交易价格为104.97亿元。本次交易完成后，建工集团成为上市公司的全资子公司。,"公司, 投融资, 投资并购, 上市资产, 股份转让/股东变更",API Error,0
2,事件 在“房住不炒”+银行理财“破刚兑”等政策影响下，我国居民资产配置逐步向权益市场转移，财富管理理念升级。东方财富作为零售财富管理行业龙头，随着权益市场升温叠加基金上线，财富金融生态圈将进一步完善。     公司基本情况 公司是国内领先的互联网金融服务商，以“某媒体”为核心，集财经资讯门户、证券基金业务、金融数据终端及移动终端等为一体，向用户提供基于互联网的全方位金融产品和服务。     观点 依托平台流量优势，经纪及两融业务市占率持续提升。近年来依托“”积累的存量投资交易型用户+互联网引流新增优势，东方财富证券快速抢占零售业务市场份额，且展现出极强的成长性。     观点 东方财富以高流量+低成本+优服务构筑核心竞争力，流量变现第三层级加速启动，未来在基金产品创设、投资顾问、客户资产配置方面将大有可为，看好其财富管理业务的长期发展空间。     机构盈利预测 业绩未来保持买入评级    市场一致观点 公司目前动态估值为43.31    ,"行业, 行业发展, 行业未来前景",API Error,0
3,"    1三元生物(创业板)申购代码：301206股票代码：301206发行价格：109.30发行市盈率：63.39行业市盈率：43.85发行规模：36.86亿元主营业务：生物制品的研发;食品添加剂“赤藓糖醇”的生产、销售;自发电和热力的生产、销售公司其他重要信息如下图所示：点评：代糖行业增长速度快。以中国市场为例，作为全球最大的甜味剂生产国，2015年-2019年，赤藓糖醇是国内增长速度最快的细分品类之一。根据公开数据，上述时间段内赤藓糖醇的年均复合增长率接近30%，远高于三氯蔗糖、安赛蜜、阿斯巴甜等甜味剂。    但考虑到公司发行价格和发行规模都较高，并且发行市盈率高于行业市盈率，综合判断其还是有一定的破发风险，破发概率在25%左右。    2.亚信安全(科创板)申购代码：787225股票代码：688225发行价格：30.51发行市盈率：87.17行业市盈率：61.19发行规模：12.21亿元主营业务：中国网络安全软件领域的领跑者,作为“懂网、懂云”的安全公司,致力于护航产业互联网,成为在5G云网时代,守护云、网、边、端的安全智能平台企业公司其他重要信息如下图所示：点评：网络安全近期是较为热门的赛道之一，但考虑到公司在科创板上市，并且发行市盈率高于行业市盈率，综合判断其有一定的破发风险，破发概率在20%左右。    3.东微半导(科创板)申购代码：787261股票代码：688261发行价格：130.00发行市盈率：429.30行业市盈率：49.01发行规模：21.90亿元主营业务：高性能功率器件研发与销售公司其他重要信息如下图所示：点评：申银万国证券指出东微半导是国内少数具备从专利到量产完整经验的高性能功率器件设计公司之一，也是国内最早在 12 英寸晶圆产线实现量产的功率半导体设计公司之一，并在应用于工业级领域的高压超级结和中低压功率器件产品领域实现了国产化替代。    但考虑到公司高达130元/股的发行价和429.30倍的发行市盈率，再加之在科创板上市，综合判断其破发风险较高，破发概率在40%左右。","公司, 投融资, 筹资, IPO",API Error,0
4,    11月17日，A股公司中兴通讯(000063.SZ)发行股份购买资产并募集配套资金。    中兴通讯拟以发行股份方式购买恒健欣芯、汇通融信合计持有的公司控股子公司中兴微电子18.82%股权;同时拟向不超过35名特定投资者非公开发行股份募集配套资金不超过26.1亿元，募集配套资金总额不超过拟以发行股份方式购买标的资产的交易价格的100%，本次交易涉及发行股份的数量需满足证监会等监管机构的相关规定，并符合一般性授权的要求。本次募集配套资金在扣除相关中介机构费用及相关税费后拟用于5G关键芯片研发项目和补充流动资金项目，其中用于补充流动资金的比例不超过募集配套资金总额的50%。    据介绍，中兴通讯5G关键芯片研发项目总投资额为64.83亿元，由中兴微电子及其全资子公司作为项目主体，将围绕5G通信设备关键芯片开展技术和产品研发，包括5G无线接入关键芯片技术和产品研发、5G承载网关键芯片技术和产品研发等。    本次交易前，中兴通讯及下属企业赛佳讯、仁兴科技合计持有中兴微电子81.18%股权，本次交易完成后，中兴通讯合计持有中兴微电子100%股权。本次交易方案中发行股份购买资产为募集配套资金的前提条件，但募集配套资金成功与否并不影响发行股份购买资产的实施。    中兴微电子成立于2003年，为中兴通讯控股子公司，专注于通信网络、智能家庭和行业应用等通信芯片的研发、设计与销售，是中兴通讯从事芯片设计、开发的经营主体。    中兴通讯表示，股权收购完成后，中兴通讯将进一步加强对中兴微电子的管理与控制力，为其在5G应用领域拓展新的竞争力做好准备，有利于进一步突出主业领域的核心竞争力优势。,"公司, 投融资, 投资并购",API Error,0
5,"    汇丰控股(00005-HK)截止10:30下跌-2.246%，现报37港元，跌-0.85港元。成交1990万股，涉资7.31亿元。
","金融市场, 股票市场, 港股",API Error,0
6,"    9月9日新余国科(300722)股价报收33.83元，涨幅为20.01%，成交7.15亿元,换手率61.27，股价创年内新高。","金融市场, 股票市场, A股",API Error,0
7,港资2月10日，净卖出142.03万股，约3407.19万元，减持比例：0.15%，成交占比：6.349%，持股比例：0.744%，1个交易日减持，近5个交易日比例变化：-9.092%，近22个交易日比例变化：-38.312%，近66个交易日比例变化：-73.864%。 近一月港资持股变动如下： ,"金融市场, 股票市场, A股",API Error,0
8,    1、地方须建立健全突发公共卫生事件应急机制据媒体近日报道，北京市卫生健康委会同相关部门起草了《北京市突发公共卫生事件应急条例（草案公开征求意见稿）》及说明，并在6月28日前公开征求意见。据悉，北京还将建立突发公共卫生事件的社会报告、举报制度，将北京12345市民服务热线作为统一的社会报告、举报电话。    2、北京：50%二级以上综合医院要开老年科北京计划到2022年和2030年，全市二级以上综合医院设老年医学科比例分别达到50%和90%；三级中医医院设置康复科比例分别达到75%和90%。健康北京行动老年健康促进行动显示，到2030年，老年友善医院建设率将达到90%，65岁及以上人群老年期痴呆患病率增速减缓。    3、日本加速研制国产新冠疫苗日本一些制药企业正加速研制国产新冠疫苗，疫苗研发获得日本政府力推。厚生劳动省官员说，这是为了确保国内疫苗供应。日本政府消息人士5月底告诉媒体记者，政府决定向制药企业提供补贴，推动疫苗研制和大规模投产。据共同社6月3日援引厚生劳动省官员的报道：“就确保必要疫苗剂量而言，最好是有日本企业国产的疫苗。”4、信达生物公布抗CTLA-4单克隆抗体IBI310 I期临床研究的初步结果2020年6月3日，中国苏州——信达生物制药，宣布在第56届美国临床肿瘤学会年会（ASCO）上以在线发表的形式公布其重组全人源抗细胞毒T淋巴细胞相关抗原4（CTLA-4）单克隆抗体（研发代号：IBI310）I期临床研究（NCT03545971研究）的初步结果，截至2019年11月12日，Ia期研究共入组10例受试者，Ib期研究共入组17例受试者，Ia和Ib期均未出现剂量限制毒性（DLT），目前正在进行Ib期剂量扩展。Ia和Ib期最常见的治疗期间与研究药物相关的不良事件（TRAE）均为瘙痒，Ia期未出现3级以上的治疗期间不良事件（TEAE），Ib期仅1例受试者出现3级以上的TRAE（AST升高），未发生导致死亡的TEAE。    5、恒瑞医药吉非替尼片获批上市恒瑞医药昨日发布公告称，近日，收到国家药品监督管理局核准签发的《药品注册批件》，批准公司吉非替尼片注册，发给药品批准文号。吉非替尼片由 AstraZeneca 开发，是全球首个上市的表皮生长因子受体小分子酪氨酸激酶抑制剂。2002 年 7 月在日本获批上市，2003 年 5月通过 FDA 批准上市，2004 年 12 月 AstraZeneca 的吉非替尼片在中国获批上市。    6、世卫专家：无证据显示新冠病毒“效能”减弱据新加坡联合早报网报道，当地时间1日，世界卫生组织专家和多名科学家表示，没有证据显示新冠病毒的“效能”正在减弱。意大利圣拉斐尔医院院长赞格里洛此前指该病毒的致命性已大不如前。据报道，世卫组织流行病学家范·科霍夫以及其他几位病毒与传染病专家说，赞格里洛的理论没有科学证据支持。他们表示，没有数据表明新冠病毒正在发生显著变化，无论是它的传播形式或所导致的疾病严重程度，都没有明显改变。    7、全国疫情速递6月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例1例，为境外输入病例（在广东）；无新增死亡病例；无新增疑似病例。,"公司, 公司经营活动, 产品业务, 公司工程项目, 新业务/新产品, 业务申请批复",API Error,0
9,    新加坡银行同业拆借利率。指新加坡货币市场上，银行与银行之间的一年期以下的短期资金借贷利率，从LIBOR变化出来的。即Singapore Interbank Offered Rate。    坡元1个月0.250003个月0.406056个月0.593381年0.81225,"宏观, 经济金融政策, 国家政策, 金融政策, 货币政策, 中国央行, 基准利率",API Error,0
