,input,response,output,f1score
0,"通达股份融资融券信息显示，2023年4月28日融资净偿还418.84万元；融资余额1.47亿元，较前一日下降2.76%。                            
融资方面，当日融资买入878.45万元，融资偿还1297.3万元，融资净偿还418.84万元。融券方面，融券卖出0股，融券偿还0股，融券余量0股，融券余额0元。融资融券余额合计1.47亿元。          ",消极,中性,0.0
1,股价突破长期盘整：前30日在上下30%的幅度内整理，今日有效突破。资金流向数据：主力资金净流入219.30万元， 占总成交额26%， 其中超大单净流入0.00元， 大单净流入219.30万元， 散户资金净流入0.21万元。所属板块表现：农药兽药 -0.07%、预亏预减 0.32%、转债标的 0.05%等。,积极,中性,0.0
2,摘要：2023年05月04日复洁环保（688335）主力资金净流出65.92万元， 占总成交额-12%， 其中超大单净流入0.00元。资金流向数据，主力资金净流出65.92万元， 占总成交额-12%， 其中超大单净流入0.00元， 大单净流出65.92万元， 散户资金净流入0.08万元。Tips：股票中出现黑三兵后市走势需要根据具体情况去分析。（后续可根据位置判断具体输出结果）1、当黑三兵出现在高价位区域或一段大幅上升趋势后，暗示行情将有反转的可能，投资者应将手中的股票变现、出局观望。2、当黑三兵出现在低价位区域或大幅下跌或连续急跌之后，则表示行情将有可能探底，不多日或有止跌反弹的可能，投资者应多加关注，并在涨势确立后考虑做多。3、当黑三兵出现在下跌初期或途中，则是中继状态，后市依然看跌。这时仍然持股的投资者应果断卖出。,中性,中性,1.0
3,"以下是ST鹏博士在北京时间5月4日09:51分盘口异动快照：                            
                            
5月4日，ST鹏博士盘中加速下跌，5分钟内跌幅超过2%，截至9点51分，报5.08元，成交7769.88万元，换手率1.07%。                            
                            
分笔09:51:085.081891↓09:51:055.10227↑09:51:025.104761↓09:50:595.11298↓09:50:565.111860↓09:50:535.1235↓09:50:505.131473↑09:50:475.12434↓09:50:445.13298↓09:50:415.13643↓报价卖五5.1420卖四5.13369卖三5.12226卖二5.11810卖一5.1393买一5.081036买二5.07915买三5.062890买四5.057521买五-0最新：5.08涨幅：-4.51%涨跌：-0.24换手率：1.07%成交量：14.90万手成交额：7769.88万元主力净流入：-114.29万元                            
                            
  5月4日，                            
ST鹏博士                            
盘中加速下跌，5分钟内跌幅超过2%，截至9点51分，报5.08元，成交7769.88万元，换手率1.07%。         ",中性,消极,0.0
4,维持百胜中国(09987)“买入”评级，将2023-25年盈利预测上调8.3%至9.1%，同时将其目标价由554.6港元上调至582.7港元。公司系统销售同比回升17%，而同店销售则同比升8%，以及净销售时点信息系统(POS)增加了233个;餐厅利润率改善至20.3%，超越疫前水平，反映出管理层做法灵活。,积极,积极,1.0
5,"中科信息(300678)05月04日在投资者关系平台上答复了投资者关心的问题。投资者：公司和奥比中光搞机器人了？中科信息董秘：尊敬的投资者，您好！关于公司业务拓展情况，请以公司在法披媒体披露的定期报告等公告为准。感谢您的关注！中科信息2023一季报显示，公司主营收入7453.59万元，同比上升9.01%；归母净利润936.98万元，同比上升17.13%；扣非净利润677.54万元，同比下降1.26%；负债率19.75%，投资收益215.95万元，财务费用-56.11万元，毛利率34.71%。该股最近90天内共有1家机构给出评级，买入评级1家；过去90天内机构目标均价为76.69。根据近五年财报数据，估值分析工具显示，中科信息（300678）行业内竞争力的护城河一般，盈利能力较差，营收成长性一般。财务相对健康，须关注的财务指标包括：应收账款/利润率。该股好公司指标3星，好价格指标1星，综合指标2星。（指标仅供参考，指标范围：0 ~ 5星，最高5星）中科信息（300678）主营业务：以智能识别及分析技术为核心,为客户提供信息化解决方案(包括软件及硬件)及相关服务,目前主要应用在现场会议、印钞检测、烟草、石油、政府及其他领域。",中性,中性,1.0
6,"新致软件(688590.SH)公布，旺道有限、0CIL、AL、CEL一致行动人合计拟通过集中竞价或大宗交易的方式减持其所持有的公司股份合计不超过1432.2万股，不超过公司股份总额的5.9994%。                            
其中：以集中竞价方式减持合计持有的新致软件股份不超过477.4万股，即减持不超公司总股份比例的1.9998%，且在任意连续90个自然日合计减持股份总额不超过公司股份总数比例的1%；                            
以大宗交易方式减持合计持有的新致软件股份不超过954.8万股，即减持不超公司总股份比例的3.9996%。其中集中竞价的减持期间为公告披露15个交易日后的6个月内；大宗交易的减持期间为公告披露3个交易日后的6个月内。",消极,中性,0.0
7,"深交所2023年5月4日交易公开信息显示，东田微因属于有价格涨跌幅限制的日换手率达到30%的前五只证券而登上龙虎榜。东田微当日报收39.55元，涨跌幅为1.51%，换手率38.30%，振幅7.55%，成交额2.94亿元。                            
                            
5月4日席位详情如下：                            
                            
龙虎榜数据显示，今日共5个机构席位出现在龙虎榜单上，分别位列买二、买三、买五、卖四、卖五，合计净卖出428.01万元，占龙虎榜净卖额的15.98%。                            
榜单上出现了2家实力营业部的身影，分别位列买一、卖一、卖三，合计买入1332.92万元，卖出2292.53万元，净额为-959.61万元。                            
买一、卖一均为东方财富证券拉萨东环路第一证券营业部，该营业部买入1077.88万元，卖出1818.65万元，净买额为-740.77万元。近三个月内该席位共上榜543次，实力排名第11。                            
卖三为东方财富证券拉萨团结路第二证券营业部，该席位买入255.04万元，卖出473.88万元，净买额为-218.84万元。近三个月内该席位共上榜873次，实力排名第7。                            
注：文中合计数据已进行去重处理。                            
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。",中性,中性,1.0
8,　　据裕豪万通官微，4月28日，科大讯飞股份有限公司和厦门裕豪万通智能设备有限公司在福州举行战略合作签约仪式。双方将在智慧政务智能产品领域展开深入合作，加强市场、技术和供应链等全方位合作。                         ,积极,积极,1.0
9,"4月25日，大悦城发布2022年年报。报告期内，大悦城实现全口径签约金额568亿元，营业收入395.79亿元，全年综合毛利率24.06%，全年平均融资成本4.82%，较2021年下降0.09个百分点，经营活动净现金流27.10亿元，同比增长132.02%。报告期末，大悦城货币资金余额365.30亿元，现金短债比2.31，短期偿债能力较强；净负债率83.98%；扣除预收账款后的资产负债率74.13%，财务稳健安全。销售排名逆市提升，产品力进一步增强2022年，全国商品房销售额同比下降26.7%，其中百强房企全年销售规模同比下降41.6%。在房地产市场总体承压的背景下，大悦城采取稳健的经营策略，销售型业务2022年实现全口径签约568亿元，签约面积227万平米。中指研究院中国房地产企业销售业绩排行榜排名33位，较2021年逆市提升14位。2022年大悦城产品力及品牌力进一步增强。新开盘项目中，杭州悦著云轩首开即罄、西安中粮奥体壹号五开五罄、厦门云玺壹号成为区域标杆红盘。商办去化方面，大悦城在组织架构、团队配置、激励机制方面给予大力支持和政策倾斜，上海大悦中心商办大宗交易取得突破，全年成交多个大宗交易，全年商办签约128亿元，创历史新高。同时，在产品创新方面，大悦城《产品线创新场景升级》完成住宅产品线迭代焕新。此外，投资与运营方面，大悦城深度聚焦一二线核心城市，坚持灵活精准的拿地方针，为高质量持续发展提供优质的土地储备。报告期公司获取8宗地块，土地面积35万平方米。从投资布局来看，新增土地储备主要位于重庆、成都、南京、杭州、苏州、北京、西安等地。报告期末，公司土地储备主要分布于京津冀、长三角、长江中游、粤港澳大湾区、成渝等核心都市圈，土地储备可售货值约1,905亿元（不含一级开发旧改等土储项目）。财务稳健，融资成本维持行业低位2022年，行业端叠加诸多变化与挑战，不确定性加剧。坚守现金流“生命线”，实施稳健谨慎的财务制度成为行业发展的必然要求。年内，大悦城加强资金集中管理、提升资金使用效率，积极拓宽融资渠道、降低融资成本，在国家建立房地产调控长效机制的行业环境下保障了公司现金流安全。2022年大悦城新增借款平均成本4.60%；全年平均融资成本4.82%，较2021年下降0.09个百分点，融资成本进一步下降维持行业低位。报告期内，公司成功发行公司债券及ABS产品等共计47.05亿元，合理安排负债期限比例，优化债务结构。报告期末，公司经营活动净现金流27.10亿元，同比大增132.02%；货币资金余额365.30亿元，现金短债比2.31，短期偿债能力较强；净负债率83.98%；扣除预收账款后的资产负债率74.13%。得益于良好的财务结构和稳健经营策略，中诚信国际信用评级有限公司、中证鹏元资信评估股份有限公司等，均维持大悦城AAA主体信用评级。轻重并举，夯实商业地产领先优势2022年是“十四五”规划承上启下之年，大悦城控股商业对发展规划进行系统梳理，从深耕城市、重塑产品、赋能品牌、精细运营、变革组织、提速发展六大维度提出战略蓝图，深度践行“城市美好生活创造者”的战略愿景，全新升级的“645”商业战略和品牌理念为新一轮发展释放红利。2022年大悦城获取广州黄埔大悦汇、成都金牛大悦城、沈阳金融中心大悦城等商业轻资产项目，年内实现武汉大悦城、即墨大悦春风里、绍兴国金大悦城、沈阳E馆4个项目开业。截至报告期末，大悦城在营项目29个（含轻资产和非标准化产品），总商业面积304万平米；其中包括18个大悦城购物中心（含轻资产），总商业面积265万平米。在建、筹备的项目（含轻资产）17个，商业面积约172万平米。公司聚焦重点区域、深耕核心城市，商业项目全国布局共46个（重资产29个+轻资产17个），轻重并举战略取得实质进展。作为城市年轻力运营与商业经营的标杆，2022年大悦城进一步夯实商业地产的领先优势，在行业陷入销售低迷的整体态势下，为企业发展提供了有力支撑。年报显示，2022年大悦城购物中心销售额254亿，平均出租率90%，全年客流2亿人次。多元协同，深挖发展“第二曲线”房地产下半场，积极开辟第二增长曲线，探索多元化的发展模式，成为企业高质量发展进程中的“稳定器”。大悦城充分发挥强大的资源整合和多业态协同发展能力，业务范围覆盖住宅、商业、产业、写字楼、酒店、长租公寓等多元业态，以持有型业务和销售型业务为核心的双轮驱动模式，能满足多元化的市场需求，并具备较强的抗风险能力。2022年大悦城持有型业务及酒店运营能力进一步提升，物业服务合同管理面积约2390万平米，在管面积近1847万平米，同比增长约23%；写字楼及产业地产整体出租率为90.95%，客户满意度、忠诚度不断提高；酒店与长租公寓保持稳定，长租公寓方面，报告期末，大悦乐邑品牌长租公寓（含未开业项目）共运营11家门店（含1家轻资产管理输出门店），房源规模2449间，主要布局在北京、天津、深圳，全年平均出租率维持在90%以上。未来，大悦城将继续坚持战略引领，定位“城市运营与美好生活服务商”，努力发挥多业态协同发展、整合创新、高效运营等关键能力，持续服务人民美好生活，服务城市和产业发展升级。",积极,积极,1.0
