,input,response,output,cosine_s
0,2018年12月28日，2018贵州茅台全国经销商联谊会在茅台会议中心隆重举行，会上提出，2019年，将对茅台酒按3.1万吨左右的总量投放。　　2019年1月2日茅台公布2018年业绩预告及2019年营业收入目标。贵州茅台酒股份有限公司初步核算，2018年度生产茅台酒基酒约4.97万吨，系列酒基酒约2.05万吨；2018年度实现营业总收入750亿元左右，同比增长23%左右；实现归属于上市公司股东的净利润340亿元左右，同比增长25%左右。公司2019年度计划安排营业总收入增长14%。　　简评　　四季度收入利润超市场预期　　2018Q4营业总收入约200.31亿元，同比增长20.85%，归母净利润约92.66亿元，同比增长30.59%，超越我们此前2018年利润334亿（+23.3%）的业绩预期。预计全年发货量小幅低于去年同期，但全年非标酒占比预计进一步提升。　　公布2019年营业总收入计划增14%　　根据此前经销商大会公布2019年茅台酒销售计划为3.1万吨，其中经销商合同量1.7万吨（我们预计都是普飞配额），根据近两年草根调研数据了解到，普飞经销商每年配额在2-2.1万吨区间，由此推断取消经销商配额在3000-4000吨左右，预计未来此部分量将会投放至公司直销渠道。根据年报数据推算，目前直销渠道（专卖店+KA+电商直供）量约为2500吨，预计未来此部分将增量至6000吨左右，未来直营比例将提升至20%以上，预计合计营收增厚约95-100亿元。叠加金融板块和系列酒板块，预计茅台提出2019年营收完成855亿元，同比增14%无忧。　　未来批价判断　　近期普飞仍然供不应求，批价维持在1750元附近，公司2019年预计收回的经销商配额将全部投放在直营渠道和生产高附加值的非标产品，最大化创造收入。根据草根调研也了解到，茅台已经开始收回部分总经销产品的经营权转为直销，此类产品总量繁多，预计超100个SKU，每个产品的总量并不大，即便茅台收回投放直营渠道，对普飞的价格影响也较为有限。　　,"茅台新年利好重重, 经销商大会释放信心, 可见公司在未来发展潜力巨大。公司将继续优化结构, 调整渠道, 实现收入目标的超预期增长。考虑到公司过去几年的表现, 未来几年收入和EPS有望保持稳健增长。鉴于公司的行业地位和良好的增长前景, 维持买入评级。

投资建议：鉴于茅台公司的发展潜力, 我们维持买入评级。投资有风险, 决策需谨慎, 具体投资决策应根据个人的风险承受能力和投资目标进行。",我们认为贵州茅台在2019年的业绩目标和市场策略将继续推动其稳健增长。公司计划的营业收入增长14%以及对经销商配额的调整，预计将进一步提升直营渠道的销售比例，增强收入的稳定性。考虑到茅台酒的市场需求依然强劲，且批价维持在高位，我们对公司未来的业绩表现持乐观态度。综合考虑公司的基本面和市场环境，我们给予贵州茅台“强烈推荐”评级，建议投资者积极关注该股的投资机会。,0.08499999999999999
1,　　苏宁金服拟独立融资，出售阿里股权回笼资金　　苏宁易购公告：1）子公司苏宁金服拟以460亿元投前估值向苏宁金控等融资100亿元，上市公司持股比例由50.1%降至41.2%（关联方苏宁金控持股45.9%），不再并表；2）完成阿里巴巴股票出售计划，出售价款合计约18.63亿美元，预计增加净利润52.05亿元；3）拟以不超过15元/股，回购5-10亿元上市公司股份，用于后续员工持股及股权激励（或其他维护公司价值及股东权益所必需）.我们认为：　　1）金服出表有利于上市公司改善资产负债及现金流结构，并为后续金服独立发展提供空间。苏宁金服主营消费及供应链金融业务，1-3Q18，苏宁金服经营净现金流出82.6亿元（17年净流出90.8亿元）。期末总资产313/总负债313/174亿元。出表后既减轻上市公司现金流压力，同时为苏宁金服搭建起更为灵活的资本运作平台。交易完成后，预计增加上市公司投资收益161.3亿元。　　2）本次出售后苏宁不再持有阿里巴巴股权，但阿里仍持有苏宁19.99%股权，不影响双方在零售、物流等领域持续合作，作为合作项目之一，合资公司猫宁电商（运营苏宁天猫旗舰店）1H18营收达184.6亿元（17全年143.3亿元），持续快速增长。　　零售+金融+物流三家马车渐成型，关注后续经营利润改善　　除金融外，苏宁物流17年完成对天天快递收购并组建物流集团，并于17年11月发起设立物流基金（目标总规模300亿，首期50亿已完成募资），用于高标物流仓储投资，零售+金融+物流三家马车渐成型。　　　　,"家电消费升级, 持续强化了苏宁在城市市场中的领先地位, 并推动了其在乡镇市场的渠道现代化, 这将成为其保持增长的关键。建议关注其利润端改善和非电品类经营上的突破。尽管当前家电整体消费趋缓, 我们仍然对苏宁的未来发展充满信心。考虑到公司历史低位估值（PS/PB）, 我们维持“买入”评级。

苏宁是一个有着深厚市场基础的零售巨头, 其在城市和乡镇市场的布局具有优势, 而且有望继续扩大这种优势。对于利润端的改善, 苏宁有诸多手段, 如优化成本结构, 提升运营效率等。同时, 其在非电品类经营上的突破, 也将为其带来新的增长动力。

然而, 投资有风险, 决策需谨慎。决策时应考虑自己的风险承受能力和投资目标。当前的预测仅是基于当前信息的基础推理, 实际的业绩可能会受到许多不可预见因素的影响。",我们认为苏宁金服的独立融资及阿里股权出售将为苏宁易购带来显著的财务改善和战略灵活性。通过出表，苏宁易购能够减轻现金流压力，并为苏宁金服的独立发展提供更大的空间。同时，出售阿里股权预计将显著增加公司的净利润，进一步增强其资本实力。随着零售、金融和物流三大业务板块的协同发展，我们看好公司未来的经营利润改善。综合考虑公司的基本面和行业前景，我们给予苏宁易购“强烈推荐”评级，建议投资者关注该股的长期投资价值。,0.07016129032258064
2,　　事件：第十届董事会第二十三次会议决议，股东珠海格力集团有限公司推荐董明珠、黄辉、望靖东、张伟为公司第十一届董事会非独立董事候选人;股东河北京海担保投资有限公司推荐张军督、郭书战为公司第十一届董事会非独立董事候选人;公司第十届董事会推荐刘姝威、邢子文、王晓华为公司第十一届董事会独立董事候选人。本议案尚需公司股东大会审议。　　格力新董事会成员提名公布，有助于缓解市场对不确定性的担心。此前，本届董事会到期未进行新一届提名，市场对董明珠的连任情况有一定顾虑。本次董明珠获得提名，黄辉、望靖东目前均为公司管理层，珠海格力集团新提名的张伟先生，目前是格力电器常务副总裁，且曾经担任格力电器管理层。京海担保此次提名董事中，张军督上届同样获得提名，新获提名的郭书战，目前是公司监事，上届的另一位提名董事为徐自发。此次公司不存在外部空降的常任董事提名人选。我们预计新的一届董事会将延续本届董事会的决策和管理风格，此前董明珠提出了2023年6000亿目标，预计后续公司将沿着家电品类拓展和行业多元化继续前进。　　分红率预期重回往年预期。公告同时指出，2019年1月16日召开2019年度第一次临时股东大会也将审议《关于公司2018年半年度利润分配的预案》，股权登记日为2019年1月11日。在公司董事会换届选举预期明朗化后，预计公司分红或将重回往年预期。　　公司看点回归基本面，格力11月终端零售弱改善。从中怡康数据看，11月空调行业零售量、零售额同比分别+2%、+5%，实现由负转正；其中格力、美的、海尔、奥克斯零售量同比分别+9%、-2%、-3%、+15%。格力在9-11月积极推动工厂巡展，降低渠道中的库存水平。从天猫数据来看，11月空调零售量和零售额同比分别-7.31%、-1.47%，较三季度情况略有改善。其中依然主要受到奥克斯拉动较为明显，当月奥克斯品牌零售量同比+26.2%，格力、美的品牌分别-20.0%、-12.2%。而11月出货端数据，格力、美的内销同比仍有双位数下滑，分为-17.5%、-18.8%，暂无明显改善。　　,"投资建议：基本面看, 格力多元化布局为其未来打开空间, 同时公司参与闻泰科技收购安世集团项目, 加码芯片相关业务, 协同发展潜力大。从估值看, 董事会提名出炉, 市场担忧或缓解, 且海外投资者对稳定增长的优质蓝筹的偏好不改。格力作为优质蓝筹, 维持“买入”评级。

推理预测：格力多元化布局为其未来发展打开空间, 且公司参与收购项目, 加码芯片相关业务, 协同发展潜力大。董事会提名情况可能影响市场情绪, 且海外投资者对格力保持偏好。基于以上因素, 建议投资者关注格力, 决策需谨慎, 考虑自身风险承受能力和投资目标进行投资。",我们认为格力电器在新一届董事会的提名和管理层稳定性方面展现出积极信号，有助于缓解市场对公司未来发展的不确定性。董明珠的连任及管理层的延续将为公司战略目标的实现提供保障，尤其是在家电品类拓展和行业多元化方面。尽管近期终端零售数据表现不佳，但我们注意到行业整体零售量和零售额有所回暖，格力在市场中的表现相对较好。,0.06119402985074626
3,"　　公司主营平板显示检测系统，营收快速增长　　公司主要产品是平板显示检测系统， 包括模组检测、 AOI 光学检测和 OLED 检测系统，其主要作用是用以确认平板显示器件良品与否并对不良品分类并加以解析提升产线良品率。受益于 LCD产能向大陆转移，公司近五年来营收保持快速增长， 2013 至 2018年营收复合增长率达 57.8%。　　国内面板行业投资力度大，平板显示检测设备显著受益　　面板产业属于重资产行业， 企业需要大量资金进行生产和研发，进而扩大生产规模、摊薄支出、降低成本。 目前， 在国家大力扶持下， 预计未来三年新增产能将主要来自中国大陆，其中京东方、华星光电和惠科电子等国内平板显示行业大型厂商将新增产线约 23 条，新增投资金额超过 6,500 亿元。 平板显示检测设备作为平板显示器件生产环节必须设备，市场空间十分广阔。　　Module 制程全覆盖， Cell 与 Array 制程国产替代空间大　　目前， 公司产品已覆盖 Module 制程的检测系统，并成功实现了Cell 制程产品的规模销售和 Array 制程产品的开发。我们认为，Cell 和 Array 制程国产替代空间较大，未来公司在 Cell 和 Array制程的设备有望逐步放量。　　切入半导体测试领域，公司开辟新赛道　　公司与韩国 IT&T 合作成立子公司， 进行半导体测试设备研发、生产。 我们认为， 相比平板显示， 半导体测试领域更为广阔。同时，国内半导体产业在政策和资金的助力下发展快速，通过切入半导体测试领域，公司有望开辟新赛道，打开新的增长空间。　　　　","投资建议：基于现有信息, 我们给予公司“买入”评级。具体理由如下：公司未来收入有望实现稳步增长, 利润水平有望保持稳定, 这得益于其强大的品牌影响力和市场地位。考虑到这些因素, 我们看好公司的长期发展前景, 并认为其具有较高的投资价值。请投资者根据自身风险承受能力和投资目标进行决策。",我们看好公司在平板显示检测系统领域的持续增长，受益于国内面板行业的投资力度加大以及产能向大陆转移，预计未来三年将为公司带来显著的市场机会。同时，随着公司在Cell和Array制程的国产替代进程加快，未来业绩有望进一步提升。此外，切入半导体测试领域将为公司开辟新的增长赛道，增强其市场竞争力。综合考虑公司的基本面和行业前景，我们给予公司“强烈推荐”评级。,0.07976878612716762
4, 卫星石化年产45万吨PDH二期项目于2018年12月29日完成试生产备案，公司PDH二期项目已符合试生产要求，具备投料试生产条件，本项目总投资金额为30.4亿元。　　简评　　全球丙烯供需格局改善，PDH价差持续扩大，盈利能力强劲：四季度丙烯价格为8635元/吨，相比三季度8836元/吨降低201元/吨，环比下跌2.27%；丙烯价差为3923元/吨，相对三季度3327元/吨扩大了596元/吨，环比增长17.9%；四季度PP粉料价格与价差分别为9803元/吨和1168元/吨，相比三季度9586元/吨和749元/吨扩大217元/吨和419元/吨，环比增长2.26%和55.9%。受益于全球丙烯供需格局改善，丙烯价格坚挺，随着原油价格下行，丙烷原料价格下降，PDH项目价差持续扩大；虽然未来2年国内新投丙烯产能较多，但是全球丙烯新增供给小于新增需求，丙烯开工率不断提升（当前约80%），丙烯全球化定价下PDH景气度持续向好；未来随着美国油气管道扩建的推进，丙烷供给能力将得到进一步的提升。新投45万吨项目投产后，公司利润有望增厚5亿以上。　　原料轻质化龙头企业，打通“丙烷-高附加值产品”全流程，盈利能力更进一步：公司专注丙烯酸一体化战略，实现“丙烷-丙烯-丙烯酸”到产品高分子材料的全产业链建设；同时横向发展C2产业链，成为进口乙烷制乙烯先驱者。公司目前已拥有45万吨丙烯产能及30万吨聚丙烯产能；同时45万吨PDH二期项目现已投料，预计2月份可开满；规划中的年产15万吨聚丙烯二期项目预计2019年一季度投产，36万吨丙烯酸及酯在19年下半年投产。随着PDH二期项目的投产，丙烯成本会进一步降低，丙烯及聚丙烯业务将为公司业绩带来稳定大幅增长，C3全产业链的综合效应将进一步提升，产业链竞争力将更加显著，市场话语权更强。　　乙烷裂解制备乙烯项目稳步推进，C2产业展翅待飞：公司与ETP合资建设美国第三个乙烷码头，保证乙烷原料供应，项目从源头先发制人，卫星石化有望成为国内首家进口美国乙烷的石化企业；乙烷运输船已完成水模实验，船位已定推进顺利，预计2020年8月交付，为乙烷运输保驾护航；连云港码头国家交通部已批复，储罐正打桩建设；整体项目推进符合预期，投产后有望带来数十亿净利润。　　,"投资建议：考虑到公司的长期发展潜力和市场前景, 我们维持对公司“买入”评级。具体来说, 公司未来三年的净利润有望持续增长, 具体增长幅度和速度取决于多种因素, 如市场环境、竞争状况、产品研发等。虽然我们无法给出具体的财务预测数据, 但公司的发展潜力值得关注。请注意, 投资有风险, 决策需谨慎。",我们认为卫星石化在全球丙烯供需格局改善的背景下，PDH二期项目的投产将显著提升公司的盈利能力。随着丙烯价格的坚挺和原料成本的降低，公司未来的业绩有望实现大幅增长。此外，公司的全产业链布局和乙烷裂解制备乙烯项目的稳步推进，将进一步增强其市场竞争力和话语权。综合考虑公司的基本面和行业前景，我们给予卫星石化“强烈推荐”评级，建议投资者积极关注该股的投资机会。,0.06368715083798883
5, 事件：1月4日公司发布公告，近日公司下属全资孙公司TELTRONICBrazilLTDA收到巴西赛阿拉州（CEARA）州政府下发的通知，巴西孙公司中标该州公共安全专网通信网络项目，由公司建设覆盖全州的TETRA专网通信网络，并提供终端产品，建设完成后为赛阿拉州公共安全部提供为期4年的租赁和运维服务，中标金额1.18亿巴西雷亚尔（约合人民币2.14亿元）。　　示范效应显著，海外业务有望持续突破。此次中标金额约合人民币2.14亿元，约占公司2017年营业收入4%。巴西作为南美洲最大的国家和金砖五国成员之一，专网需求持续提升。公司认为该项目的实施有利于提升公司在巴西公共安全市场的知名度和市场份额，并为公司在巴西其他州和南美其他国家的拓展起到良好示范作用。　　并购协同渐入佳境，产品竞争力不断提升。此次新建基站设备将采用公司于2017年收购的赛普乐公司旗下子公司TELTRONIC的TETRA基站设备，终端采用公司自主研发的新一代TETRA终端，此次项目中标也充分显示了公司并购带来的协同能力和并购后的整合效应。本次项目的新建网络是对竞争对手原有网络的替换和技术升级，也进一步体现了公司新一代TETRA产品全球领先的竞争力。　　订单持续性强，发展潜力凸显。2017年6月公司发布公告预中标菲律宾国家警察专业无线通信设备采购项目，预中标总金额为8362.63万元。2018年9月10日公司发布公告与巴西阿拉戈斯州公共安全部签署扩容项目，合计4451.76万元。2019年1月2日公司发布公告海能达与菲律宾当地合作伙伴组成的联合投标体中标菲律宾国家警察专业无线通信设备采购项目，中标总金额为3959.35万元。此次巴西大单是继阿拉戈斯州订单后再次获得突破，公司的海外耕耘正持续获得订单，这也将为公司的长远发展奠定基础。　,"投资建议：公司作为国内专业无线通信行业的龙头企业, 未来市场地位有望持续提高。考虑到公司新兴业务的持续布局, 参考对标公司估值, 我们给予“优于大市”评级。至于具体的估值倍数和合理价值区间, 则需要进一步研究公司的财务状况和市场反应才能确定。因此, 投资需谨慎, 决策需基于个人风险承受能力和投资目标。",我们认为公司在海外市场的拓展取得了显著进展，尤其是巴西公共安全专网通信网络项目的中标，标志着公司在国际市场的竞争力不断增强。此次中标金额虽占公司2017年营业收入的4%，但其示范效应将有助于提升公司在南美市场的知名度和市场份额，未来有望带来更多订单。,0.04792899408284024
6,　　事件：2019年1月4日公司发布2018年业绩快报。2018年实现营业总收入14.31亿元，同比+40.90%；归母净利润6119.22万元，同比-16.94%。公司2018实现业绩与我们先前预测的营收13.93亿元（+37.15%）、净利润5600万元（-24.32%）相比基本符合预期。　　营业收入继续保持高速增长。公司2018年营业收入增速40.90%，达到近三年最高水平（16/17分别为22%/28%）。收入继续高速增长的原因一方面来自国外市场的销售规模继续扩大，另一方面国内电商渠道开拓取得明显进展，带动国内业务收入上涨。2018年公司不仅分别与苏宁、阿里在品牌建设、产品销售等方面建立战略合作关系，同时包括北京万峰、安徽颂智和宁波冠纯等在内的电商运营团队的建设基本完成；根据淘数据显示，2018年双十一当日中宠天猫旗舰店实现销售额515万元，销售量12万单，线上渠道拓展效果十分明显。2018年公司国外市场收入预计同比增长接近30%，国内收入增长超100%，公司逐渐从主要依靠国外收入的单轮驱动型发展向国内外平衡发展的双轮驱动转变。　　成本压力舒缓，利润降幅缩窄；升级高端产品，抬升盈利空间。公司2018全年归母净利润6119.22万元，同比-16.94%，相较于2018H1同比-38.63%明显缩窄；主要原因是由于成本端上半年鸡肉等原材料价格较往年上涨明显，而下半年此类成本端压力逐渐释放。同时，公司产品结构正逐渐从价位较低的普通粮升级为高端无谷粮，毛利水平有进一步抬升的预期空间。　　广泛对外合作，拓展渠道建设。2018年公司不仅与电商平台广泛合作拓宽线上渠道，也逐渐强化产业内线下渠道资源建设。12月18日公司参股瑞鹏股份，借助瑞鹏宠物医院连锁优势，实现公司作为上游宠物食品供应商的渠道下沉。　　 　　,"投资建议：我们维持对公司“增持”评级, 基于其国内业务快速放量、产品结构不断升级、成本压力逐渐缓解等优势。未来, 公司有望继续受益于这些趋势, 实现营收和净利润的稳步增长。这些趋势包括但不限于快速放量、升级、缓解压力等。具体而言, 我们看好公司未来几年的发展前景, 但投资有风险, 决策需谨慎。",我们认为公司在2018年实现了营业收入的高速增长，且国内市场的拓展和电商渠道的建设成效显著，显示出公司在市场竞争中的优势。尽管归母净利润有所下滑，但降幅明显缩窄，且成本压力的缓解和高端产品的升级将为未来的盈利能力提供支撑。考虑到公司在国内外市场的双轮驱动发展战略以及与电商平台的合作，我们对公司未来的增长潜力持乐观态度。综上所述，我们给予公司“推荐”评级，建议投资者关注其长期发展前景。,0.08693181818181818
7,　　消费者业务：开放平台保持领先，转写机有望成为业绩亮点　　开放平台开发者规模迅速增长，2018年上半年突破80万，讯飞开放平台先发优势明显，语音深度服务能力较强，优势有望继续保持。转写机系列产品线完整，客户群体涵盖B、C、G端各类客户，其中，个人版转写机因其安全性与便捷性，满足政企客户需求，有望成为政企客户间热销单品，成为公司消费者业务后续业绩亮点。翻译机行业龙头地位稳固，高端路线持续引领翻译机发展方向，受益于“出行+商务”需求提升及租赁模式推出，翻译机收入将持续增长。　　教育：“1+N”体系服务全产业链，B2B2C模式发力C端　　18年4月，教育部《教育信息化2.0行动指南》发布，教育信息化2.0时代到来，财政投入有望进一步加大。2.0时代，教育信息化将更关注智能教育与教育教学创新，公司在教育行业形成了“1+N”产品体系，提供“智校、智考、智课、智学”等教育全行业解决方案，教育业务收入持续高速增长。公司发挥人工智能及大数据技术优势，大力发展“智慧课堂”、“智学”等业务，深度服务教学，B2B2C模式绑定C端需求，数据量、渗透率、续购率不断提升。　　政法业务：辅助办案系统全国推广，审讯产品加速向公安拓展　　公司与上海高院合作的刑事案件辅助办案系统成果显著，目前已开始在全国范围内扩展，全国八个省市将作为第一批试点，辅助办案系统有望在国内法院系统全面铺开，并向更多罪种、民商行政案件等方向延伸。公司审讯产品于法庭拓展迅速，已覆盖815个法院、4200个法庭，后续智慧庭审产品在法庭的渗透率仍有较大提升空间。且公司审讯产品标准化水平较高，符合法庭、派出所审讯室等司法和公安系统多个场景，后续，审讯产品将加速向公安派出所审讯室的更大场景进行横向拓展。　　人员队伍就位，规模效应助公司盈利能力改善　　公司前期加大投入甄选赛道扩大技术壁垒，导致净利润率有所下降。目前，成本端，公司后续发展所需人员队伍已基本就位，通过优化人力资源配置，公司费用率有望得到改善。收入端，公司消费者、政法、教育等核心赛道长期均有较大的成长空间。近期各赛道行业催化频至，公司业绩有望加速放量，规模效应有望逐渐显现。　　,"考虑到公司的稳健表现和持续增长潜力, 我维持对该公司的“买入”评级。基于现有的信息, 该公司的业绩有望在未来几年内实现稳步增长, 这主要得益于其强大的市场地位、创新能力和良好的运营效率。尽管我们无法提供具体的财务数据预测, 如市值增长和市盈率倍数等, 但基于该公司的综合实力和行业前景, 我坚信其未来发展前景值得期待。因此, 对于谨慎的投资者, 这可能是一个值得考虑的投资选项。",我们认为公司在消费者、教育和政法业务领域均展现出强劲的增长潜力。开放平台的领先地位和转写机的市场需求将为公司带来可观的业绩增长；同时，教育信息化的推进和“1+N”产品体系的实施将进一步巩固公司的市场地位。政法业务的全国推广和审讯产品的扩展也将为公司带来新的收入来源。尽管短期内由于人员投入导致净利润率有所下降，但随着规模效应的显现和费用率的改善，公司的盈利能力有望逐步提升。综合考虑公司的多元化业务布局和行业前景，我们给予公司“强烈推荐”评级，建议投资者积极关注。,0.09242424242424242
8,　　报告要点　　事件描述　　杭黄高铁正式开通，上海-黄山、杭州-黄山时间大为缩短。 杭黄高铁正式开通， 时间大为缩短。从杭州到黄山的杭黄高铁于 2014年 6 月 30 日正式开工， 2018 年 12 月 25 日试运营、 首开列车 11 对，2019 年 1 月 5 日杭黄高铁正式开通、每日开行动车组达 36 对。 杭黄高铁开通后， 将上海-黄山行程时间从此前最短的 4 小时 8 分钟缩短到2 小时 26 分， 杭州-黄山从此前 3 小时左右缩短为最快 1 小时 26 分钟。　　元旦小长假，杭黄高铁表现不俗。 根据中国铁路上海局数据， 2018 年12 月 29 日至 2019 年 1 月 1 日杭黄高铁共发送旅客 10.3 万人次， 绩溪北（ 杭黄高铁、合福高铁并站）、歙县北站、黄山北站客流同比增长62.1%、 84.3%、 41.4%，表现不俗。 参考 2015 年 6 月 28 日合福高铁开通后对黄山市游客接待量带来的显著提升，同时根据黄山市旅委发布的《 2017 年黄山市旅游大数据报告》，黄山市游客中来自江浙沪长三角地区与省内客源合计占比 50%以上，我们预计杭黄高铁开通后对黄山客流提振有望较合肥高铁开通更为显著，有望达到两位数增长。　　“一山一水一村一窟”战略稳步推进， 增加休闲产品供给、 延长产业链：（ 1）东黄山开发进入实质性阶段，预计交通路线开发完成后，客流接待能力将会有显著提升；（ 2）花山谜窟一期项目已于 2018 年 10 月正式启动，预计成熟期核心景区“ 日游+夜游” 年接待总人数有望从 20万增长至 125 万、户外运动年接待人数达 52 万；（ 3） 2018 年 6 月黄山区国资委将黄山太平湖子公司 56%股权通过安徽长江产权交易所进行挂牌转让， 公司参与受让； 截至 2018 年中期已签署股权转让协议并支付股权转让款，完成工商变更，且项目人员已进驻现场开展前期工作。　　 ,"杭黄高铁的正式开通和门票的降价策略预计将带动公司客流量的提升。作为原副董事长兼总裁章德辉先生已接任董事长兼总裁一职, 这一人事变动有助于理顺机制并提升效率。综合考虑, 我维持对公司“增持”的评级。

然而, 要注意的是, 所有的投资决策都需要基于个人的风险承受能力和投资目标进行。投资有风险, 决策需谨慎。",我们认为杭黄高铁的开通将显著提升黄山的旅游客流，尤其是来自长三角地区的游客。结合黄山旅游相关项目的推进和休闲产品供给的增加，预计将带动当地经济增长。考虑到旅游业的复苏和杭黄高铁的便利性，我们对黄山相关企业的未来发展持乐观态度。建议投资者关注与黄山旅游相关的上市公司，给予“买入”评级。,0.07405063291139241
9, 内生产能稳步扩张，外延布局全产业链。18年募投项目陆续投产，5000吨/年干法芯材项目已投产，滤纸产销量预计全年提升1000多吨。同时新建2.5万吨玻纤棉项目已基本完成，且仍有持续产能扩张规划，预计未来几年各产品产能仍能快速增长，充分克服产能瓶颈。收购苏州悠远、参股松下新材料实现产业链向下游拓展，通过下游产品销售带动原材料销售增长，实现由材料供应商向行业引领者的角色转变。　　成本、技术优势打造高竞争壁垒。微玻纤棉作为产业链的核心原材料，天然气成本占比超过40%。公司微玻纤棉生产基地位于四川宣汉，毗邻国内规模名列前茅的普光气田，气源供应充足，气价便宜稳定。技术优势突出，打破了滤纸行业被海外企业垄断的局面。投产了国内第一条干法芯材生产线，成本较湿法芯材降低约40%。　　干净空气领域：国产化替代加速，电子厂新建厂需求集中爆发。我们测算未来三年在建及规划电子厂新建厂项目将带动洁净室工程投资约2360亿元，带动过滤材料市场需求约120亿元，较现有市场规模数倍增长。公司滤纸目前主要应用于更换市场，受益于材料国产化替代加速，有望通过提高在悠远净化设备中的滤纸自供比例，实现在电子厂新建厂项目上的快速拓展。　　高效节能领域：VIP板加速对聚氨酯材料替代，市场增量空间广阔。VIP板较传统的聚氨酯材料，相同保温层厚度可节能10%-30%，相同保温效果可节省有效容积20%-30%。干法生产工艺逐步成熟，与聚氨酯材料成本差异逐步减小，随着家电节能要求越来越高，VIP板对聚氨酯的替代预计提速。我们测算，VIP板在冰箱冷柜领域渗透率提升至10%，在低温仓储业渗透率提升至1.9%时，仅国内VIP板市场空间即达到40亿。通过参股松下新材料实施全球化的战略布局，与大客户进行深度绑定，VIP芯材业务有望快速增长。,"考虑到洁净及节能行业市场空间广阔, 且公司具有高成长性, 评级为“买入”。未来行业的发展和公司的业绩可能受多种因素影响, 谨慎起见, 我给予谨慎的投资建议：如果上述因素持续推动公司实现良好业绩, 可能支持更高的估值。至于具体价格预测, 应考虑市场状况、公司基本面和其他相关因素。因此, 我建议投资者根据自身风险承受能力和投资目标进行决策。",我们认为公司在干法芯材和微玻纤棉领域的持续扩张将为其未来业绩提供强劲支撑。随着电子厂新建项目的集中爆发和国产化替代的加速，公司在过滤材料市场的需求将显著增长。此外，VIP板在高效节能领域的市场潜力也不容小觑，预计将为公司带来可观的增量空间。综合考虑公司的技术优势、市场前景及产业链布局，我们给予公司“强烈推荐”评级，建议投资者积极关注该股的投资机会。,0.07150259067357512
