,input,response,output,cosine_s
0,公司 2018 年业绩预告基本符合预期， 虽然产品整体景气度下行，但公司作为煤化工龙头成本优势显著，未来百亿级 150 万吨绿色新材料将支撑公司继续成长。维持增持评级，目标价 15.28 元： 因产品景气下行，下调 2018-2020EPS为 1.86/1.91/2.08 元（原 2.09/2.44/2.80 元），参考可比公司 2019 年 8 倍估值，下调目标价 15.28 元（原 25.08 元），维持“增持”评级。 预告全年实现利润 29.31-32.31亿元（+YoY140%-160%），对应 Q4 实现净利 3.96-6.96 亿元， Q4 主要产品尿素/醋酸/DMF/己二酸/异辛醇/甲醇/乙二醇均价 2077/4359/5477/8996/8450/2858/6422 元/吨，环比增长 7.53%/-1.07%/-4.47%/-11.31%/ 0/-12.27%/-15.24%。 业绩环比下滑原因： 1.除尿素外多数产品价格处于下跌。 2.己二酸、 5 万吨乙二醇等装置的检修。 公司 50 万吨/年煤制乙二醇生产装置全部打通，目前负荷达到 70%，产品质量优等。总投资 26 亿元的 50 万吨煤制乙二醇单位投资额较前期 5 万吨大幅减少， 生产成本优势明显。目前国内乙二醇年约需求量 1300 万吨，进口依赖度达 60%。煤制乙二醇前景广阔， 2019 年将为公司业绩贡献增量。 第二期股权激励计划以营收和分红为考核指标， 共计授予 160 人， 633 万股，授予价格8.64 元/股。股权激励绑定公司核心员工，支撑公司长远稳健发展。同时公司所在园区已经入选山东新旧动能转换第一批高端化工项目，未来启动的新一轮百亿级 150 万吨绿色新材料项目将为公司成长提供新动力。　　,"业绩基本符合预期, 主要产品多数下跌｜50万吨煤制乙二醇顺利投产, 打开新一轮成长空间｜授予第二期股权激励计划, 未来新一轮资本开支值得期待",业绩预告符合预期，未来新材料项目将支撑成长｜煤化工龙头成本优势显著，维持增持评级｜Q4净利预期下滑，主要因产品价格普遍下跌｜股权激励计划助力核心员工，促进公司稳健发展,0.0857142857142857
1,　　公司动态　　公司近况　　2018 年 12 月主要并表路段（梅观、机荷东、机荷西、水官、武黄、清连、长沙环路） 车流量增速约 1%，慢于 11 月的 2%与去年同期的15%； 12 月收入同比增速 4%，高于 11 月的 1%，低于去年同期的 14%。　　深圳路产车流量环比增速有所提高： 梅观高速 12 月增长 7%，快于 11月的 6%与去年同期 6%； 机荷东 12 月增长 5%，持平于 11 月的 5%、略慢于去年同期 7%； 机荷西 12 月增长 2%，快于 11 月的 1%、略慢于去年同期 4%； 水官高速继续受塌方影响， 12 月下滑 1%，好于 11月的-6%，差于去年同期 3%。广东其他路产： 清连高速 12 月增长 4%，慢于 11 月的 10%、慢于去年同期 14%。公司持股 25%的广州西二环受相连路段施工影响，12 月增长 5%，慢于 11 月的 9%与去年同期 45%。　　其他地区受天气影响出现下滑： 武黄高速 12 月下滑 4%，差于 11 月的-1%与去年同期 12%； 益常高速 12 月下滑 15%，差于 11 月的增长31%与去年同期 16%。　　评论　　 全年车流量/收入同比增长9.7%/8.6%，剔除收购影响后全年内生增速分别为 5.5%/3.4%（2017年内生增速为 9.7%/7.8%）。其中，深圳地区各条核心路产全年保持5-9%车流量增长、 4-7%收入增长。由于公司管理路产区位优越、客运为主受宏观经济影响相对小，我们预计 2019年公路收入内生增长 3%。　　 梅林关一期 2018年 12 月起预售且进度顺利， 2019 年底起结算、贡献盈利。我们预计梅林关 2019-21 年每年贡献税后净利润约 3.6~4.0 亿元，占深高速同年预测净利润的 15%~20%，商住用房合计 NAV 1.2 元/股。　　 行业层面， 12月 20 日，《收费公路管理条例（修订草案）》公开征求意见，保护高速收费，行业环境得到保护。公司层面，优质后备充足，在建的外环、沿江二期项目预计于 2019 年竣工，预计分别从 2021 年/2020 年开始贡献利润，而远期机荷改扩建等项目落地将继续提升盈利空间。,"2018年全年车流量与收入内生增长平稳｜2019年起梅林关房地产项目将贡献公司利润增量｜行业环境维持稳定, 公司公路主业未来成长性良好",车流量增速放缓，12月收入同比增4%｜深圳地区核心路产表现稳健，全年内生增速预计3%｜梅林关项目顺利推进，预计2019年贡献净利润3.6~4.0亿元｜行业环境改善，收费公路管理条例修订草案公开征求意见,0.10206185567010309
2,　　公司今日公布2018年业绩预告，报告期内公司预计实现净利润84.5-87.5亿元，同比增长60%-65%；归属于上市公司股东净利润66.3-69.3亿元，同比增长61%-68%，折合EPS为2.20-2.30元。去年同期实现归母净利润41.21亿元，折合EPS为1.37元；根据最新业绩预告，公司2018年前三季度分别实现归母净利15.34亿元、19.05亿元及20.33亿元，若以业绩预告上限测算，四季度归母净利为11.58亿元，环比下滑43.04%，若以业绩预告下限测算，四季度归母净利14.58亿元，环比下滑28.28%。结合前期公告的生产经营快报，1-4季度钢材销量分别为427万吨、463万吨、487万吨及473万吨，测算吨钢净利润分别为444元、511元、532元及369元（取平均值），全年吨钢净利润465元，同比提升145元/吨；公司四季度归母净利环比下滑28.28%-43.04%，主要源于以下原因：一是由于悲观预期四季度行业整体盈利下滑，根据我们测算，四季度热轧板、冷轧板及螺纹钢吨钢毛利分别环比下滑435元、408元及197元，降幅分别为52.54%、82.87%及19.53%，公司四季度业绩符合行业趋势；二是公司前三季度所得税率分别为1%、7.4%和11%，四季度税率或有所提升，截至2017年末公司累计未弥补亏损额为3535.4万元，至2018年半年报全部补亏结束，理论来说，公司第三季度开始正常纳税，但考虑到湘钢、涟钢及衡钢三个子公司补亏节奏不同，四季度子公司层面纳税额环比三季度增加；此外，年底或存在累计计提等非经营因素影响单季度利润。综合而言，2018年整体业绩依然亮眼，铁、钢、材产量及全年盈利均创历史历史最优；12月初公司公布市场化债转股相关公告，主要包含三方面：（1）增资：6家市场化债转股实施机构对华菱钢铁控股的优质钢铁资产华菱湘钢、华菱涟钢、华菱钢管合计增资32.8亿元；（2）发行股份：对6家特定投资机构、华菱集团及其全资子公司衡钢集团、涟钢集团以6.41元发行13.62亿股收购“三钢”全部少数股权；（3）支付现金17.74亿元购买华菱节能100%股权，发行股份及支付现金交易金额合计高达105.02亿元。此外，为解决潜在同业竞争问题，上市公司拟支付现金收购阳春新钢控制权，目前已签订框架协议。在百亿规模重组之前，6家特定投资机构现金增资全部用于偿还银行贷款，增资完成后每年可直接减少财务费用1.64亿元，“三钢”资产负债率均下降5%左右，上市公司资本结构将得到进一步优化；市场化债转股及钢铁资产整体上市后，华菱节能将纳入上市公司合并财务报表范围，同时上市公司控股子公司华菱湘钢、华菱涟钢和华菱钢管将成为上市公司的全资子公司，随着后期阳春新钢注入，不仅产能增加至2310万吨，归属于上市公司股东的净利润也将进一步增加；　　,业绩概要｜吨钢盈利｜四季度环比下滑但全年仍创历史新高｜市场化债转股+钢铁资产整体上市,2018年业绩预告显示净利润预计增长60%-65%｜四季度业绩环比下滑，主要受行业盈利下滑及税率提升影响｜市场化债转股重组将优化资本结构，提升未来盈利能力,0.0818181818181818
3,　　　　事件：　　公司公布业绩快报，2018年收入同增37.21%至14.47亿元，营业利润同增46.00%至3.35亿元，除主业本身的强势增长外，公司通过高新技术认定，归母净利同增60.98%至2.90亿元。　　　　从季度数据来看，2018年公司Q1/Q2/Q3/Q4收入增速分别达到30.3%/44.9%/45.7%/30.8%，虽然Q4社会零售增速整体承压，但比音勒芬作为高端休闲运动领域龙头仍在Q4保持了强劲增长，这与运动休闲细分领域市场的蓬勃发展，以及公司自身公司坚持“三高一新”产品开发宗旨不断提升产品、在品牌宣传以及渠道优化所做诸多努力密不可分。从全年来看，公司收入同增37.2%至14.5亿元，门店数量较2017年末的652家净增100家左右（+15%），增长主要由单店销售增长推动。　　利润端：通过高新认定，助力Q4利润超预期高增。　　比音勒芬在2018年单季度收入的高速增长助力公司税前利润增速在Q1/Q2/Q3/Q4分别达到43.1%/66.5%/54.0%/29.2%，而18年末通过高新技术认定、全年按照15%缴纳所得税更带来税后利润高增，Q1/Q2/Q3/Q4归母净利增速分别达到41.6%/56.6%/56.7%/95.9%，全年来看归母利润则高增60.98%达到2.90亿元。　,"Q4收入端强势增长30.8%, 续写亮眼表现。",业绩快报显示收入增长37.21%，归母净利增60.98%｜高端休闲运动领域龙头，Q4仍保持强劲增长｜门店数量净增100家，单店销售推动整体业绩提升｜高新技术认定助力利润超预期增长,0.05131578947368421
4,　　业绩预览　　预测2018年盈利保持稳健增势　　我们预测中国联通2018年收入同比增长2.8%至2，826亿元，较市场一致预期低1.4%，其中服务性收入同比增长5.2%至2，620亿元；公司息税摊销折旧前利润同比增长4.5%至851亿元，净利润同比增长397%亿元至40亿元，混改红利逐步释放助力盈利明显改善。　　关注要点　　2018年联通新增手机用户3，087万（同比增长52%），新增4G用户4，505万（同比下滑36%），4G渗透率达70%（低于市场平均6%）。中国电信和中国移动大力发展大流量和互联网套餐对联通用户扩张造成冲击。宽带用户新增434万户（同比增长233%），与竞争对手相比差距显著。我们认为2019年的用户增长压力上升，因为潜在增长空间收缩、市场竞争加剧。流量快速上升驱动收入稳健增长，预计联通流量单价2018年下降50%左右，但保持较好价格弹性，月户均流量同比增长超过150%。　　受益于在成本控制方面的改革举措，我们预计联通将保持利润率改善的势头，依靠互联网渠道发展新用户以降低市场费用，注重投资回报以控制资本开支和网运成本。我们认为控制成本和转型“轻”资产运营商是运营商应对成本上行压力的有效手段。考虑到2019年5G投资规模有限，联通2019年仍会保持约500亿的低资本支出水平，继续改善现金流。　　我们预计联通将于2019年开始5G试商用，在重点城市布局5G网络、发展5G用户、促进应用创新。我们认为随着5G网络发展，联通将加速在产业互联网领域的布局，加强以IDC、大数据和物联网为代表的2B服务能力。我们预计2018年联通的产业互联网收入达到30%以上的快速增长。,"市场竞争令用户增长承压｜盈利能力改善, 受益混改红利｜5G新周期将加速联通升级转型",中国联通2018年收入预计增长2.8%，净利润增至40亿元｜用户增长面临压力，宽带用户新增显著｜流量驱动收入稳健，预计流量单价下降50%｜成本控制改革助力利润率改善，5G布局加速推进,0.060714285714285714
5,　　　　 公司是汽车热管理领域的龙头，业务不断扩展。从全球化来看，公司在 2018 年先后获得捷豹路虎、东风雷诺、通用、 曼胡默尔等定点合同， 加速向海外拓展； 产品方面， 从传统热管理拓展到新能源汽车热管理，从热管理零部件到热泵集成产品， 新能源业务已经进入高速增长通道。 继续重点推荐，维持“买入”评级。公司 2 月 27 日晚间， 公司公告 2018 年业绩快报，符合市场预期。对此，我们点评如下：　　 公司 2018 年实现营收 50.54 亿元，同比+16.91%；归母净利润 3.58 亿元， 归母净利率为 7.08%，业绩快报在此前业绩预告区间范围，符合预期。分季度看， 2018Q4 实现营收 12.4 亿元，同比+0.6%，环比+4.2%；归母净利润 0.74 亿元，同比+4.2%，环比-8.8%。在中美贸易争端、汽车行业整体发展放缓的背景下，公司通过兼并吸收、拓展国际市场、提升内部管理等措施，确保业绩增长符合市场预期。　　 近期，公司先后与通用、江铃、曼胡默尔公司签订供应商定点合同。 其中， 热泵空调于 2020 年 6 月起供应江铃新能源，预计销售额约 6.87 亿元人民币；中冷器首次供应欧洲市场，预计销售额 2.25 亿元人民币。公司在国内外热管理市场持续拓展，对实现公司中长期战略目标将产生积极影响。公司专注于热管理领域，客户从工程机械、商用车的卡特彼勒、康明斯、潍柴，到乘用车的吉利、福特、大众、捷豹路虎，再到新能源汽车领域的吉利 PMA 平台、 CATL 等，行业的能力开始得到全球客户的认可和背书，未来有望成长为热管理领域的“福耀”，成为真正具有全球领先的技术能力、配套能力的热管理供应商。　　 2018 年， 公司于 7 月份公告第一期员工持股计划草案， 9 月底已完成员工持股计划开户认缴工作，实际参与员工总人数为 448 人，截止至 12 月底，已在二级市场购买公司股份 14，515，014 股，占总股本比例为 1.81%，成交金额 108，620，307 元，均价约为 7.48 元。 该持股计划参与面广，同时也有利保障公司发展战略的实现。此外， 2018 年 12 月初公司公布回购计划， 截止 2019 年 1 月 31 日，公司累计回购股份数量 1，280，050 股，占总股本的 0.1598%，成交价在 7.51-7.70 元/股，总金额为 9，770 万元。 此次回购价格上限高，体现了公司对未来发展前景和公司价值的信心。　,"公司2018年实现归母净利润3.58亿元, 同比+15.17%, 符合预期｜事项｜2018年归母净利润同比+15%, 符合市场预期｜公司业务持续拓展, 未来汽车热管理的“福耀”｜员工持股与股份回购持续推进, 彰显公司发展信心",汽车热管理龙头，业绩符合预期｜2018年营收增长16.91%，归母净利润达3.58亿元｜国际市场拓展加速，签订多项供应合同｜员工持股计划及回购计划增强市场信心，助力公司长期发展,0.14347826086956522
6,　　　　公司2月26日发布2018年业绩快报，报告期内公司实现营业总收入216.51亿元（YoY+14.59%），归母净利润22.34亿元（YoY+10.37%）。其中2018年四季度实现营业收入55.41亿元（+6.80%），归母净利润4.33亿元（-33.44%），受主要文化纸价格四季度走低影响，公司业绩承压。　　　　三四季度为传统造纸行业下游需求旺季，但受行业流通渠道库存高企、下游备库意愿减弱及进出口情绪影响，主要纸种价格均有所调整，原材料木浆价格调整幅度弱于成品纸，纸企盈利能力减弱。春节后补库存旺季，龙头纸企相继发布提价函，有望改善吨纸盈利情况。　　　　项目产能渐次落地巩固公司行业龙头地位。兖州20万吨特种纸项目、邹城基地80万吨高档箱板纸和老挝30万吨化学浆等2018年建成投产项目有望于2019年逐步释放产能。公司增资老挝基地建设120万吨造纸项目推进海外布局，原材料自给规避政策风险，增强公司盈利稳定性。　　海外产能渐次落地打开中长期成长空间，看好公司产业链整合优势　　老挝基地顺利投产，公司产业链整合再下一城，原材料木浆自给率提升增强盈利能力稳定性。预计2018-2020年营业收入分别为216.5、239.3、253.3亿元，归母净利润分别为22.3、23.0、24.5亿元，当前股价对应2018年8.6xPE，我们认为纸价下跌影响市场已有预期，原材料成本优势有望不断增强抗风险能力，参考申万造纸行业分类上市公司，若剔除特种纸及亏损企业，平均PE(TTM)为10.0倍，估值仍存提升空间，维持公司买入评级。　　,"公司发布2018年业绩快报, 全年归母净利润同比增长10.37%｜受纸价下跌影响, 公司2018年四季度业绩承压｜新增产能项目有望于2019年逐步释放产能",业绩快报显示2018年收入216.51亿元，净利润22.34亿元｜四季度受文化纸价格下滑影响，业绩承压｜传统旺季需求减弱，纸价调整影响盈利｜新项目投产将逐步释放产能，增强盈利稳定性｜海外布局推进，产业链整合优势显现，维持买入评级。,0.111
7,　　公司27日晚间发布业绩快报，2018年实现营业收入9.17亿元，同比增长16.33%；归母净利润1.82亿元，同比增长40.22%。18年以来，在油价整体回升的背景下，公司业绩显著复苏。分业务来看，产品服务稳定增长，智能成套装备领域快速增长，毛利率水平提升；节能减排环保领域新承接项目储备亦大幅增长，为公司的持续发展打下坚实基础。近年来，公司将环保领域作为重要战略方向。根据公告的披露以及我们后续的统计，截止当前，公司废酸处理业务累计签订合同金额超过6.5亿元。分季度来看，18Q4单季度收入2.85亿元，同比增长7.5%；实现归母净利润5055万元，同比增长51.1%。公司加大应收款项催收力度，资产减值损失较上年同期减少，也是公司业绩增速较快的原因之一。　　　　公司1月底发布公告，分别与中国石化、北京石化签订包装码垛机组采购合同，采购金额分别为5540万元、4020万元。公司传统业务景气度持续，近期接连签订重大项目订单，有利于稳固并提升公司的竞争优势。截止18Q3，公司预收账款9.78亿元，相比年初增长143%。公司当前在手订单充足，传统业务与新兴业务有望形成共振，带动业绩上行。　　,"业绩增速符合预期, 盈利水平提升｜接连签订重大订单, 传统业务景气上行",业绩显著复苏，2018年净利润增40.22%｜智能装备与环保项目快速增长，毛利率提升｜应收款项催收力度加大，资产减值损失减少助力业绩｜在手订单充足，传统与新兴业务共振推动业绩上行,0.05783132530120482
8,2018年公司营收和归母净利润139.8/4.32亿，分别同比+32%/10%，实现扣非归母净利润4.22亿（+164%），盈利超预期。2018年公司发电量和上网电量分别增长15.5%/15.7%。公司18年费用控制较好，我们将19年秦港煤价（5500K）均价假设从610元/吨下调至600元/吨，上调公司盈利预测。我们预计2019-20年公司归母净利润分别为8.6/11.6亿（调整前为7.3/11.4亿），引入2021年归母净利润13.6亿元。当前股价对应公司19-21年P/B分别为1.06/0.99/0.92x，参考可比公司19年平均P/B1.2x，给予公司19年1.2-1.3xP/B，对应目标价7.80-8.45元，维持“买入”。　　　　2018年公司入炉煤价高达638元/吨（同比+2%，标煤不含税），同期公司实现发电量和上网电量411/384亿千瓦时，同比提升15.5%/15.7%，公司平均上网电价达到0.318元/千瓦时（同比+11%，不含税）。受益于电量/电价齐增长，公司在煤价高企的情况下实现高盈利增长。此外，年报披露公司18年发电机组效能持续提升，控股发电机组平均供电煤耗下降5.35克/千瓦时（-1.7%），燃料成本控制能力较17年进一步提升。供热业务受高煤价影响毛利率较低（18年供热毛利率-16%），我们判断19-20年供热业务盈利情况有望随煤价下行不断回升。　　　　公司费用控制良好，18年三项费用率仅为9.5%，较17年下降1.7pct，费用控制能力超我们此前预期。19年年初至今煤价同比下降明显，1月1日至3月15日秦港煤价（5500K）均价为598元/吨，同比下降118元/吨（-16%）。考虑煤炭供给侧改革接近尾声，我们判断煤价中长期下滑趋势未改，预计19-20年秦港煤价（5500K）均价分别为600/570元/吨。我们预计秦港煤价（5500K）每下降10元/吨对应公司入炉煤价下降10元/吨，分别增厚19/20年归母净利1.8/1.9亿元，占我们预测值的21%/16%。　　　　公司3月6日发布公告，拟以5.21元/股向大股东建投集团发行股份收购张河湾公司45%股权和秦热公司40%股权，交易金额为10.5亿元。拟收购标的净资产账面价值合计7.3亿（基准日为2018/9/30），注入P/B为1.4x。若19年完成注入，19-20年每股净资产分别6.21/6.61元（-4.4%/-4.8%），摊薄较为有限。完成收购后公司控股装机容量将增加65万千瓦（+8.3%），权益装机容量将增加71万千瓦（+8.5%），议价能力有望进一步提升。　　　　考虑公司费用控制能力较强且19年煤价下降程度有望超我们此前预期，我们上调盈利预测，预计2019-20年EPS0.48/0.65元（调整前0.41/0.64元），引入2021年EPS0.76元。由于公司所处河北南网/北网电力供需格局较好，公司应享受适当溢价。我们预计19-21年公司每股净资产分别为6.50/6.94/7.44元，当前股价对应公司19-21年P/B分别为1.06/0.99/0.92x，参考可比公司19年平均P/B1.2x，给予公司19年1.2-1.3xP/B，对应目标价7.80-8.45元，　　,"电量/电价增长, 抵消高煤价负面影响｜18年公司管理费用控制良好, 看好19年煤价下行盈利改善｜资产注入预计摊薄有限, 电力业务协同性提升｜上调盈利预测, 维持“买入”评级",2018年业绩超预期，营收同比增长32%｜发电量和上网电量均增长15.5%｜费用控制良好，三项费用率下降｜煤价下行有望提升盈利，预计2019-20年净利润上调｜拟收购股权，控股装机容量将增加，议价能力提升,0.09207920792079208
9,　　事件： 公司发布 2018 年年报。 公司 2018 年全年实现营业收入 78.16亿元，同比增长 22.86%；实现利润总额 11.17 亿元，同比增 14.42%；实现归母净利润 9.54 亿元，同比增长 15.56%。　　 报告期内公司实现营业收入 78.16 亿元，同比增长 22.86%，比去年同期提高 14.2pct，营收增速显著提高；实现归母净利润 9.54 亿元，同比增长 15.56%，增速同比提高 3.08pct。 报告期内公司期间费用支出 7.72 亿元，同比提高6.0%，期间费用率为 9.88%，比去年同期降低 1.57pct，主要原因是受益于美元汇率波动，报告期内财务费用大幅降低。 2018 年公司销售毛利率下滑 2.48pct 至 32.56%，主要原因是报告期内通信、新能源汽车、工业装备等毛利率相对较低的民用产品销售收入占比增加。　　 2018 年公司研发费用 6.6亿元，研发投入占营收比例提高 0.54pct 至 8.49%，同比增加 31.22%。报告期内公司抢抓市场机遇、 加强新市场开拓和新产品推广， 成功进入国际一流车企供应链，成为国际通讯龙头企业 5G 优选供应商， 石油、医疗、新能源装备及工业装备等领域销售收入大幅增长， 反映公司产品有较强的市场竞争力， 公司国际化进程不断加速。　　 2018 年发行转债募集 13 亿元资金投入中航光电新技术产业基地和光电技术产业基地（二期）项目的建设，面向国防军工、高端装备、数据通信、新能源汽车等领域市场，扩大高端连接器产品的生产能力，报告期内完成新技术产业基地项目主体工程建设，项目建成后将为公司未来经营规模的增长奠定良好的基础。　　盈 利 预 测 与 投 资 建 议 ： 预 计 2019-2021 年 公 司 营 收 分 别 为96.40/123.42/157.53 亿元，当前股价对应 PE 分别为 29/26/23 倍，给予“买入”评级。　　,"国内外业务稳定扩张, 业绩增速有所提高｜产品研发投入增加, 新市场领域不断开拓｜产业化项目持续推进, 将有效推动经营规模增长",2018年营收增长22.86%，归母净利润增15.56%｜期间费用率降低，财务费用大幅减少｜研发投入占比提升，市场竞争力增强｜国际化进程加速，成功进入高端供应链｜预计2019-2021年营收持续增长，给予“买入”评级,0.058252427184466014
